namc_code,namc_term_diacritical,query
AYU,vyādhi-viniścayaḥ,vyādhi viniścayaḥ vyādhi viniścayaḥ vyadhi viniscayah व्याधि विनिश्चयः
DIS,vikāraḥ,vikāraḥ vikāraḥ vikarah विकारः
A,dōṣavaiṣamyam,dōṣavaiṣamyam dōṣavaiṣamyam doshavaishamyam दोषवैषम्यम्
AA,vātavyādhiḥ,vātavyādhiḥ vātavyādhiḥ vatavyadhih वातव्याधिः
AAA,dōṣāvasthā (vāta),dōṣāvasthā (vāta) dōṣāvasthā (vāta) doshavastha (vata) दोषावस्था (वात)
SR11 (AAA-1),(a) vātasañcayaḥ,"(a) vātasañcayaḥ (a) vātasañcayaḥ vatasa~jcayah वातसञ्चयः it is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. this may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation."
SR12 (AAA-2),(a) vātavṛddhiḥ,"(a) vātavṛddhiḥ (a) vātavṛddhiḥ vatavruddhih वातवृद्धिः it is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. this may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications."
SR10 (AAA-2.1),(a) vātaprakopaḥ,(a) vātaprakopaḥ (a) vātaprakopaḥ vataprakopah वातप्रकोपः it is characterized by abdominal pain and increased gaseous movements in abdomen. this may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.
SR10  (AAA-2.1),(a) vātaprakopaḥ,(a) vātaprakopaḥ (a) vātaprakopaḥ vataprakopah वातप्रकोपः it is characterized by abdominal pain and increased gaseous movements in abdomen. this may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.
AAA-2.2,prāṇavātakōpaḥ,"prāṇavātakōpaḥ prāṇavātakōpaḥ pranavatakopah प्राणवातकोपः the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]"
AAA-2.3,udānavātakōpaḥ,"udānavātakōpaḥ udānavātakōpaḥ udanavatakopah उदानवातकोपः the disorder is characterized by kaṇṭharōdha [choking of throat stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region goitre], jatrūrdhvarōga [diseases of body above collar bone diseases of head and neck]"
AAA-2.4,vyānavātakōpaḥ,"vyānavātakōpaḥ vyānavātakōpaḥ vyanavatakopah व्यानवातकोपः the disorder is characterized by puṁstvabhraṁśa [decrease in virility semen], utsāhabhraṁśa [decrease lack of enthusiasm energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis erysipelas], sarvāṅgaga rōga [diseases affecting whole body]"
AAA-2.5,samānavātakōpaḥ,"samānavātakōpaḥ samānavātakōpaḥ samanavatakopah समानवातकोपः the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of having origin in āmāśaya]"
AAA-2.6,apānavātakōpaḥ,"apānavātakōpaḥ apānavātakōpaḥ apanavatakopah अपानवातकोपः the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]"
SR13(AAA-3),(a) vātaprasaraḥ,"(a) vātaprasaraḥ (a) vātaprasaraḥ vataprasaranam वातप्रसरणम् it is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. this may be explained by spreading of vatadosha from place of accumulation to other parts or entire body."
SR14 (AAA-4),(a) vātakṣayaḥ,"(a) vātakṣayaḥ (a) vātakṣayaḥ vatakshayah वातक्षयः it is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. this may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications."
AAB,nānātmajavātavikāraḥ,nānātmajavātavikāraḥ nānātmajavātavikāraḥ nanatmajavatavikarah नानात्मजवातविकारः
SQ00 (AAB-1),(a) atipralāpaḥ                       (a) pralāpakaḥ,"(a) atipralāpaḥ (a) pralāpakaḥ (a) atipralāpaḥ (a) pralāpakaḥ atipralapah (kevalavata) अतिप्रलापः (केवलवात) it is characterised by irrelevant and irrational talk, mental confusion. this may be explained by: (a) vitiation of vata affecting motor and intellectual faculties."
SQ05(AAB-2),(a) anavasthitacittatvam,"(a) anavasthitacittatvam (a) anavasthitacittatvam anavasthitacittatvam (kevalavata) अनवस्थितचित्तत्वम् (केवलवात) it is characterised by difficulty to concentrate, fickleness, confusion. this may be explained by: (a) vitiation of vata affecting the mind."
AAB-3 (SP9Y),(a) aṅgamardaḥ,(a) aṅgamardaḥ (a) aṅgamardaḥ a~ggamardah (kevalavata) अङ्गमर्दः (केवलवात)
AAB-4 (SP9Y),(a) aṅgaśuṣkatā,(a) aṅgaśuṣkatā (a) aṅgaśuṣkatā a~ggasushkata (kevalavata) अङ्गशुष्कता (केवलवात)
SP21 (AAB-5),(a) aṅgavibhraṁśaḥ,"(a) aṅgavibhraṁśaḥ (a) aṅgavibhraṁśaḥ a~ggavibramsah (kevalavata) अङ्गविभ्रंशः (केवलवात) it is characterised by atony or flaccidity of the joints, muscles and body parts. this may be explained by: (a) obstructed or aggravated vata causes loss of functions, flaccidity."
AAB-6,arditaḥ (kēvalavāta),arditaḥ (kēvalavāta) arditaḥ (kēvalavāta) arditah (kevalavata) अर्दितः (केवलवात)
SM1P (AAB-7),(a) arasajñatā,"(a) arasajñatā (a) arasajñatā arasaj~jata (kevalavata) अरसज्ञता (केवलवात) it is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. this may be explained by: (a) impairment of digestive and metabolic factors affecting kapha residing on the tongue."
SM1P (AAB-7),(a) arasajñatā,"(a) arasajñatā (a) arasajñatā arasaj~jata (kevalavata) अरसज्ञता (केवलवात) it is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. this may be explained by: (a) impairment of digestive and metabolic factors affecting kapha residing on the tongue."
AAB-8,aśabdaśravaṇam (kēvalavāta),aśabdaśravaṇam (kēvalavāta) aśabdaśravaṇam (kēvalavāta) asabdasravanam (kevalavata) अशब्दश्रवणम् (केवलवात)
AAB-9,asvapnaḥ (kēvalavāta),asvapnaḥ (kēvalavāta) asvapnaḥ (kēvalavāta) asvapnah (kevalavata) अस्वप्नः (केवलवात)
AAB-10,akṣibhēdaḥ (kēvalavāta),akṣibhēdaḥ (kēvalavāta) akṣibhēdaḥ (kēvalavāta) akshibedah (kevalavata) अक्षिभेदः (केवलवात)
AAB-11,akṣivyudāsaḥ (kēvalavāta),akṣivyudāsaḥ (kēvalavāta) akṣivyudāsaḥ (kēvalavāta) akshivyudasah (kevalavata) अक्षिव्युदासः (केवलवात)
AAB-12,akṣiśūlaḥ (kēvalavāta),akṣiśūlaḥ (kēvalavāta) akṣiśūlaḥ (kēvalavāta) akshisulah (kevalavata) अक्षिशूलः (केवलवात)
AAB-13,āṭōpaḥ (kēvalavāta),āṭōpaḥ (kēvalavāta) āṭōpaḥ (kēvalavāta) atopah (kevalavata) आटोपः (केवलवात)
AAB-14,ākṣēpakaḥ (kēvalavāta),ākṣēpakaḥ (kēvalavāta) ākṣēpakaḥ (kēvalavāta) akshepakah (kevalavata) आक्षेपकः (केवलवात)
SK84 (AAB-15),(a) uccaiḥśrutiḥ,"(a) uccaiḥśrutiḥ (a) uccaiḥśrutiḥ uccaihsrutih (kevalavata) उच्चैःश्रुतिः (केवलवात) it is characterised by intolerance to loud sounds. this may be explained by: (a) increased vatadosha, pittadosha leading to hypersensitivity of ear."
SK84 (AAB-15),(a) uccaiḥśrutiḥ,"(a) uccaiḥśrutiḥ (a) uccaiḥśrutiḥ uccaihsrutih (kevalavata) उच्चैःश्रुतिः (केवलवात) it is characterised by intolerance to loud sounds. this may be explained by: (a) increased vatadosha, pittadosha leading to hypersensitivity of ear."
AAB-16,udarāvēṣṭaḥ (kēvalavāta),udarāvēṣṭaḥ (kēvalavāta) udarāvēṣṭaḥ (kēvalavāta) udaraveshtah (kevalavata) उदरावेष्टः (केवलवात)
AAB-17,udāvartaḥ (kēvalavāta),udāvartaḥ (kēvalavāta) udāvartaḥ (kēvalavāta) udavartah (kevalavata) उदावर्तः (केवलवात)
AAB-18,ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ūrustambhaḥ āḍhyavātaḥ (kēvalavāta) ūrustambhaḥ āḍhyavātaḥ (kēvalavāta) urustambah adhyavatah (kevalavata) ऊरुस्तम्भः आढ्यवातः (केवलवात)
AAB-19,ūrusādaḥ (kēvalavāta),ūrusādaḥ (kēvalavāta) ūrusādaḥ (kēvalavāta) urusadah (kevalavata) ऊरुसादः (केवलवात)
AAB-20,ēkāṅgarōgaḥ (kēvalavāta),ēkāṅgarōgaḥ (kēvalavāta) ēkāṅgarōgaḥ (kēvalavāta) eka~ggarogah (kevalavata) एकाङ्गरोगः (केवलवात)
AAB-21,ōṣṭhabhēdaḥ (kēvalavāta),ōṣṭhabhēdaḥ (kēvalavāta) ōṣṭhabhēdaḥ (kēvalavāta) oshthabedah (kevalavata) ओष्ठभेदः (केवलवात)
SL02 (AAB-22),(a) kaṇṭhodhvaṃsaḥ,"(a) kaṇṭhodhvaṃsaḥ (a) kaṇṭhodhvaṃsaḥ kanthodhvamsah (kevalavata) कण्ठोध्वंसः (केवलवात) it is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. this may be explained by: (a) vitiated vata affecting the speech faculties."
SL02 (AAB-22),(a) kaṇṭhodhvaṃsaḥ,"(a) kaṇṭhodhvaṃsaḥ (a) kaṇṭhodhvaṃsaḥ kanthodhvamsah (kevalavata) कण्ठोध्वंसः (केवलवात) it is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. this may be explained by: (a) vitiated vata affecting the speech faculties."
AAB-23,karṇaśūlaḥ (kēvalavāta),karṇaśūlaḥ (kēvalavāta) karṇaśūlaḥ (kēvalavāta) karnasulah (kevalavata) कर्णशूलः (केवलवात)
AAB-24,kampaḥ/vēpathuḥ (kēvalavāta),kampaḥ vēpathuḥ (kēvalavāta) kampaḥ vēpathuḥ (kēvalavāta) kampah vepathuh (kevalavata) कम्पः वेपथुः (केवलवात)
AAB-25 (SM1Y),(a) kaṣāyāsyatā,(a) kaṣāyāsyatā (a) kaṣāyāsyatā kashayasyata (kevalavata) कषायास्यता (केवलवात)
SP97 (AAB-26),(a) klamaḥ,"(a) klamaḥ (a) klamaḥ klamah (kevalavata) क्लमः (केवलवात) it is characterised by feeling extreme exhaustion even without any physical effort, work. this may be explained by: (a) vitiation of all the three dosha, seven elementary tissues and ojas."
SN41 (AAB-27),(a) kārṣṇyam,(a) kārṣṇyam (a) kārṣṇyam karshnyam (kevalavata) कार्ष्ण्यम् (केवलवात) it is characterised by discoloration or pigmentation of skin. this may be explained by: (a) increased vatadosha.
AAB-28,kubjatvam (kēvalavāta),kubjatvam (kēvalavāta) kubjatvam (kēvalavāta) kubjatvam (kevalavata) कुब्जत्वम् (केवलवात)
SP61 (AAB-29),(a) kārśyam,"(a) kārśyam (a) kārśyam karsyam (kevalavata) कार्श्यम् (केवलवात) it is characterised by sudden or gradual loss of body weight, loss of muscle. this may be explained by: (a) emaciation in the body due to vitiation of vāta."
SN4C (AAB-30),(a) keśabhūmisphuṭanam,(a) keśabhūmisphuṭanam (a) keśabhūmisphuṭanam kesabumisputanam (kevalavata) केशभूमिस्फुटनम् (केवलवात) it is characterised by scaling of scalp forehead skin. this may be explained by: (a) increased vatadosha.
AAB-31,khañjaḥ/khañjatvam (kēvalavāta),khañjaḥ khañjatvam (kēvalavāta) khañjaḥ khañjatvam (kēvalavāta) kha~jjah kha~jjatvam (kevalavata) खञ्जः खञ्जत्वम् (केवलवात)
AAB-32,garbhanāśaḥ (kēvalavāta),garbhanāśaḥ (kēvalavāta) garbhanāśaḥ (kēvalavāta) garbanasah (kevalavata) गर्भनाशः (केवलवात)
SP45 (AAB-33),(a) grīvāstambhaḥ,"(a) grīvāstambhaḥ (a) grīvāstambhaḥ grivastambah (kevalavata) ग्रीवास्तम्भः (केवलवात) it is characterised by pain, stiffness of the neck. this may be explained by: (a) vitiation of vata causing stiffness of neck muscles."
AAB-34,gudabhraṁśaḥ (kēvalavāta),gudabhraṁśaḥ (kēvalavāta) gudabhraṁśaḥ (kēvalavāta) gudabramsah (kevalavata) गुदभ्रंशः (केवलवात)
SM50 (AAB-35),(a) gudārtiḥ,(a) gudārtiḥ (a) gudārtiḥ gudartih (kevalavata) गुदार्तिः (केवलवात) it is characterised by pain in the anal region radiating to rest of perineum and lower back. this may be explained by: (a) severe vitiation of descending vata affecting the anal region.
AAB-36 (SP1Y),(a) gulpha-grahaḥ,(a) gulpha grahaḥ (a) gulpha grahaḥ gulpa grahah (kevalavata) गुल्फ ग्रहः (केवलवात)
AAB-37,gr̥dhrasī (kēvalavāta),"gr̥dhrasī (kēvalavāta) gr̥dhrasī (kēvalavāta) grudhrasi (kevalavata) गृध्रसी (केवलवात) the disorder is characterized by kramāt sphik kaṭi pr̥ṣṭha ūru jānu jaṅghā padēṣu stambhaḥ [gradual stiffness in gluteal region low back upper back thigh knee calf muscles feet], spandatē muhuḥ [constant frequent throbbing twiching sensation], sakthi nigr̥hṇana [supression holding down of thighs], jānusaṁdhi sphuraṇam [twitching sensation in knee], jānusaṁdhi stabdhatā [stiffness in knee joint], kaṭisaṁdhi sphuraṇam [twitching sensation in waist], kaṭisaṁdhi stabdhatā [stiffness of lowback], ūrusaṁdhi sphuraṇam [twitching sensation in thigh], ūrusaṁdhi stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha pravakratā [bending flexion of the body]"
SK91 (AAB-38),(a) ghrāṇanāśaḥ,"(a) ghrāṇanāśaḥ (a) ghrāṇanāśaḥ ghrananasah nasahundanam (kevalavata) घ्राणनाशः नासाहुण्डनम् (केवलवात) it is characterised by decreased or loss of the smell. it may be explained by: (a) vatadosha, kaphadosha blocking nasal passages"
AAB-39(SP1Y),(a) jānubhedaḥ,(a) jānubhedaḥ (a) jānubhedaḥ janubedah (kevalavata) जानुभेदः (केवलवात)
AAB-40 (SP1Y),(a) jānuviśleṣaḥ,(a) jānuviśleṣaḥ (a) jānuviśleṣaḥ januvisleshah (kevalavata) जानुविश्लेषः (केवलवात)
SP95 (AAB-41),(a) jr̥mbhā,(a) jr̥mbhā (a) jr̥mbhā jrumba (kevalavata) जृम्भा (केवलवात) it is characterised by morbid excessive yawning. this may be explained by: (a) increased vatadosha.
AAB-42(SP98),(a) tamaḥ,(a) tamaḥ (a) tamaḥ tamah (kevalavata) तमः (केवलवात)
AAB-43,timiraḥ (kēvalavāta),timiraḥ (kēvalavāta) timiraḥ (kēvalavāta) timirah (kevalavata) तिमिरः (केवलवात)
AAB-44 (SN9Y),(a) prasuptiḥ                              (a) tvakśūnyatā,(a) prasuptiḥ (a) tvakśūnyatā (a) prasuptiḥ (a) tvakśūnyatā tvaksunyata (kevalavata) त्वक्शून्यता (केवलवात)
AAB-45 (SP9Y),(a) todaḥ,(a) todaḥ (a) todaḥ todah (kevalavata) तोदः (केवलवात)
AAB-46(SK30),(a) daṇḍakaḥ,(a) daṇḍakaḥ (a) daṇḍakaḥ dandakah (kevalavata) दण्डकः (केवलवात)
AAB-47,dantabhēdaḥ (kēvalavāta),dantabhēdaḥ (kēvalavāta) dantabhēdaḥ (kēvalavāta) dantabedah (kevalavata) दन्तभेदः (केवलवात)
AAB-48 (SM1Y),(a) dantaśaithilyam,(a) dantaśaithilyam (a) dantaśaithilyam dantasaithilyam (kevalavata) दन्तशैथिल्यम् (केवलवात)
