namc_code,namc_term_diacritical,short_definition,long_definition
AYU,vyādhi-viniścayaḥ,-,-
DIS,vikāraḥ,-,-
A,dōṣavaiṣamyam,-,-
AA,vātavyādhiḥ,-,-
AAA,dōṣāvasthā (vāta),-,-
AAA-1,(a) vātasañcayaḥ,-,"It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation."
AAA-2,(a) vātavṛddhiḥ,-,"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications."
AAA-2.1,(a) vātaprakopaḥ,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.
AAA-2.1,(a) vātaprakopaḥ,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.
AAA-2.2,prāṇavātakōpaḥ,-,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]"
AAA-2.3,udānavātakōpaḥ,-,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck]"
AAA-2.4,vyānavātakōpaḥ,-,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]"
AAA-2.5,samānavātakōpaḥ,-,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]"
AAA-2.6,apānavātakōpaḥ,-,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]"
AAA-3,(a) vātaprasaraḥ,-,"It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body."
AAA-4,(a) vātakṣayaḥ,-,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications."
AAB,nānātmajavātavikāraḥ,-,-
AAB-1,(a) atipralāpaḥ (a) pralāpakaḥ,-,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties."
AAB-2,(a) anavasthitacittatvam,-,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind."
AAB-3,(a) aṅgamardaḥ,-,-
AAB-4,(a) aṅgaśuṣkatā,-,-
AAB-5,(a) aṅgavibhraṁśaḥ,-,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity."
AAB-6,arditaḥ (kēvalavāta),-,-
AAB-7,(a) arasajñatā,-,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue."
AAB-7,(a) arasajñatā,-,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue."
AAB-8,aśabdaśravaṇam (kēvalavāta),-,-
AAB-9,asvapnaḥ (kēvalavāta),-,-
AAB-10,akṣibhēdaḥ (kēvalavāta),-,-
AAB-11,akṣivyudāsaḥ (kēvalavāta),-,-
AAB-12,akṣiśūlaḥ (kēvalavāta),-,-
AAB-13,āṭōpaḥ (kēvalavāta),-,-
AAB-14,ākṣēpakaḥ (kēvalavāta),-,-
AAB-15,(a) uccaiḥśrutiḥ,-,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear."
AAB-15,(a) uccaiḥśrutiḥ,-,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear."
AAB-16,udarāvēṣṭaḥ (kēvalavāta),-,-
AAB-17,udāvartaḥ (kēvalavāta),-,-
AAB-18,ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),-,-
AAB-19,ūrusādaḥ (kēvalavāta),-,-
AAB-20,ēkāṅgarōgaḥ (kēvalavāta),-,-
AAB-21,ōṣṭhabhēdaḥ (kēvalavāta),-,-
AAB-22,(a) kaṇṭhodhvaṃsaḥ,-,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties."
AAB-22,(a) kaṇṭhodhvaṃsaḥ,-,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties."
AAB-23,karṇaśūlaḥ (kēvalavāta),-,-
AAB-24,kampaḥ/vēpathuḥ (kēvalavāta),-,-
AAB-25,(a) kaṣāyāsyatā,-,-
AAB-26,(a) klamaḥ,-,"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas."
AAB-27,(a) kārṣṇyam,-,It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha.
AAB-28,kubjatvam (kēvalavāta),-,-
AAB-29,(a) kārśyam,-,"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta."
AAB-30,(a) keśabhūmisphuṭanam,-,It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha.
AAB-31,khañjaḥ/khañjatvam (kēvalavāta),-,-
AAB-32,garbhanāśaḥ (kēvalavāta),-,-
AAB-33,(a) grīvāstambhaḥ,-,"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles."
AAB-34,gudabhraṁśaḥ (kēvalavāta),-,-
AAB-35,(a) gudārtiḥ,-,It is characterised by pain in the anal region radiating to rest of perineum and lower back. This may be explained by: (a) Severe vitiation of Descending vata affecting the anal region.
AAB-36,(a) gulpha-grahaḥ,-,-
