namc_term_diacritical,tm2_code,count
(a) vātasañcayaḥ,SR11,1
(a) vātavṛddhiḥ,SR12,1
(a) vātaprakopaḥ,SR10,1
(a) vātaprasaraḥ,SR13,1
(a) vātakṣayaḥ,SR14,1
(a) atipralāpaḥ (a) pralāpakaḥ,SQ00,1
(a) anavasthitacittatvam,SQ05,1
(a) aṅgamardaḥ,SP9Y,1
(a) aṅgaśuṣkatā,SP9Y,1
(a) aṅgavibhraṁśaḥ,SP21,1
(a) arasajñatā,SM1P,1
(a) uccaiḥśrutiḥ,SK84,1
(a) kaṇṭhodhvaṃsaḥ,SL02,1
(a) kaṣāyāsyatā,SM1Y,1
(a) klamaḥ,SP97,1
(a) kārṣṇyam,SN41,1
(a) kārśyam,SP61,1
(a) keśabhūmisphuṭanam,SN4C,1
(a) grīvāstambhaḥ,SP45,1
(a) gudārtiḥ,SM50,1
(a) gulpha-grahaḥ,SP1Y,1
(a) ghrāṇanāśaḥ,SK91,1
(a) jānubhedaḥ,SP1Y,1
(a) jānuviśleṣaḥ,SP1Y,1
(a) jr̥mbhā,SP95,1
(a) tamaḥ,SP98,1
(a) prasuptiḥ (a) tvakśūnyatā,SN9Y,1
(a) todaḥ,SP9Y,1
(a) daṇḍakaḥ,SK30,1
(a) dantaśaithilyam,SM1Y,1
(a) nakhabhedaḥ,SN60,1
(a) hrasvakeśaḥ,SN7Y,1
(a) pāṅgulyam,SK21,1
(a) pādabhraṃśaḥ,SK5Y,1
(a) pādaśūlaḥ,SP4Y,1
(a) pādasuptatā,SP45,1
(a) pāruṣyam,SN4R,1
(a) piṇḍikodveṣṭanam,SP9Y,1
(a) pṛṣṭha-grahaḥ,SP42,1
(a) bāhuśoṣaḥ,SP4Y,1
(a) balahāniḥ,SP9Y,1
(a) bhedaḥ,SP9Y,1
(a) mala-apravṛtiḥ,SM7Y,1
(a) bhrūvyudāsaḥ,SK5Y,1
(a) mukhaśoṣaḥ,SM1N,1
(a) mūtranigrahaḥ,SM81,1
(a) raukṣyam,SN42,1
(a) lomaharṣaḥ,SP9Y,1
(a) lalāṭabhedaḥ,SK0Y,1
(a) trikagrahaḥ,SP1Y,1
(a) vartmasaṅkocaḥ,SK7Y,1
(a) vakṣoparodhaḥ,SP9Y,1
(a) vakṣastodaḥ,SP9Y,1
(a) vāk-saṅgaḥ,SK53,1
(a) vācālatā,SP9Y,1
"(a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ",SP1Y,1
(a) vāmanatvam,SP9Y,1
(a) viḍ-bhedaḥ,SM37,1
(a) viṣādaḥ (a) dīnatā,SQ04,1
(a) vṛṣaṇākṣepaḥ,SN3Y,1
(a) vaṅkṣaṇānāhaḥ,SP4Y,1
(a) vyathā,SP9Y,1
(a) śirāsphūrtiḥ,SL7Y,1
(a) śukrakṣayaḥ,SN03,1
(a) śukrakṣayaḥ,SR4E,1
(a) śephastambhaḥ,SN07,1
(a) śaityam,SP9Y,1
(a) saṅkocaḥ,SP9Y,1
(a) śramaḥ,SP9Y,1
(a) stambhaḥ,SK52,1
(a) hanubhedaḥ,SP4Y,1
(a) hṛddravaḥ,SL62,1
(a) hṛnmohaḥ,SL60,1
(a) antarāyāmaḥ,SK30,1
(a) apatantrakaḥ,SK30,1
(a) apatānakaḥ,SK30,1
(a) arditaḥ,SK20,1
(a) asthiprabhedaḥ,SP0Y,1
(a) asthiśoṣaḥ,SP00,1
(a) vātāṣṭhīlā,SN08,1
(a) avabāhukaḥ,SP15,1
(a) ūrustambhaḥ,SK55,1
(a) asādhya-ūrustambhaḥ,SK55,1
(a) aṃsaśoṣaḥ,SP2Y,1
(a) ākṣepakaḥ,SK30,1
(a) ādhmānam,SM31,1
"(a) pratyādhmānaḥ, (a) pratyānāhaḥ",SM31,1
(a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ,SK30,1
(a) asādhyadhanuṣkaṃpa,SK30,1
(a) ūrdhvavātaḥ,SM75,1
(a) ekāṅgavātaḥ,SK22,1
(a) kalāyakhañjaḥ,SK5Y,1
(a) kroṣṭukaśīrṣaḥ,SP10,1
(a) khañjaḥ (a) khañjatvam,SK2Y,1
(a) khallī,SP20,1
(a) gṛdhrasī,SP41,1
(a) jihvāstambhaḥ,SK22,1
(a) tūnī,SM83,1
(a) daṇḍāpatānakaḥ,SK30,1
(a) pakṣāghāta (a) pakṣavadhaḥ,SK22,1
(a) pādadāhaḥ,SP9Y,1
(a) pādaharṣaḥ,SP9Y,1
(a) pratitūnī,SM83,1
(a) paṅguḥ,SK21,1
(a) minminaḥ,SL21,1
(a) mūkatvam,SL07,1
(a) vātakaṇṭakam,SP40,1
(a) viśvācī,SK51,1
(a) kampaḥ,SK52,1
(a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ,SK22,1
(a) sirāgrahaḥ,SL7Y,1
(a) hanugrahaḥ (a) hanusraṃsa,SK5Y,1
(a) āvaraṇa,SR20,1
(a) pittāvṛtavātaḥ,SR20,1
(a) kaphāvṛtavātaḥ,SR20,1
(a) pittāvṛtaprāṇavātaḥ,SR20,1
(a) kaphāvṛtaprāṇavātaḥ,SR20,1
(a) pittāvṛta-udānavātaḥ,SR20,1
(a) kaphāvṛta-udānavātaḥ,SR20,1
(a) pittāvṛta-samānavātaḥ,SR20,1
(a) kaphāvṛtasamānavātaḥ,SR20,1
(a) pittāvṛtavyānavātaḥ,SR20,1
(a) kaphāvṛtavyānavātaḥ,SR20,1
(a) pittāvṛta-apānavātaḥ,SR20,1
(a) kaphāvṛta-apānavātaḥ,SR20,1
(a) raktāvṛtavātaḥ,SR20,1
(a) māṃsāvṛtavātaḥ,SR20,1
(a) medasāvṛtavātaḥ,SR20,1
(a) asthyāvṛtavātaḥ,SR20,1
(a) majjāvṛtavātaḥ,SR20,1
(a) śukrāvṛtavātaḥ,SR20,1
sarvadhātvāvṛtavātaḥ,SR20,1
(a) malāvṛtavātaḥ,SR20,1
(a) mūtrāvṛtavātaḥ,SR20,1
(a) annāvṛtavātaḥ,SR20,1
(a) sandhigatavātaḥ,SP12,1
(a) pittasañcayaḥ,SR16,1
(a) pittavṛddhiḥ,SR17,1
(a) pittaprakopaḥ,SR15,1
(a) pittaprasaraḥ,SR18,1
pittakṣayaḥ,SR19,1
(a) akṣipākaḥ,SK7Y,1
(a) aṅga-durgandhaḥ,SN44,1
(a) aṅgāvadaraṇam,SP9Y,1
(a) atṛptiḥ,SM7Y,1
(a) antardāhaḥ,SM7Y,1
(a) amlakaḥ,SM3Y,1
(a) aṃsadāhaḥ,SP9Y,1
(a) āsyavipākaḥ (a) mukhpākaḥ,SM10,1
(a) ūṣmādhikyam,SP9Y,1
(a) oṣaḥ,SP9Y,1
"(a) tamapraveśaḥ, (a) tamaḥ-atidarśanam",SP98,1
(a) tvagdāhaḥ,SP9Y,1
(a) davaḥ,SP9Y,1
(a) davathuḥ,SP9Y,1
(a) dāhaḥ,SP9Y,1
"(a) dhūmakaḥ, (a) dhūmodgāraḥ",SP9Y,1
(a) pūtimukhatā,SM15,1
(a) ploṣaḥ,SP9Y,1
(a) māṃsakledaḥ,SP2Y,1
(a) māṃsadāhaḥ,SP9Y,1
(a) meḍhrapākaḥ,SN00,1
(a) raktamaṇḍalam,SN5Y,1
(a) vidāhaḥ,SP9Y,1
(a) carmadaraṇam (a) carmadalanam,SN9Y,1
(a) kaphasañcayaḥ,SR1B,1
(a) kaphavṛddhiḥ,SR1C,1
(a) kaphaprakopaḥ,SR1A,1
(a) kaphaprasaraḥ,SR1D,1
(a) kaphakṣayaḥ,SR1E,1
(a) apaktiḥ,SM3B,1
(a) ālasyam,SP96,1
(a) buddhimāndyam,SR0Y,1
"(a) kaṇṭhopalepaḥ, (a) mukhalepaḥ",SM1Y,1
(a) gurugātratā,SP9Y,1
(a) tandrā,SQ4Y,1
(a) tṛptiḥ,SM7Y,1
(a) dhamanīpraticayaḥ,SL72,1
(a) nidrādhikyam,SQ40,1
(a) mukhamādhuryam,SM1Y,1
(a) agnimāndyam,SM3B,1
(a) śleṣmodgiraṇam,SM7Y,1
(a) staimityam,SP9Y,1
(a) hṛdayopalepaḥ,SL6Y,1
(a) ghargharavākyatā,SK5Y,1
dhātuvaiṣamyam,SR40,1
(a) rasakṣayaḥ,SR42,1
(a) rasavṛddhiḥ,SR41,1
(a) raktakṣayaḥ,SR44,1
(a) raktavṛddhiḥ,SR43,1
(a) māṃsakṣayaḥ,SR46,1
(a) māṃsavṛddhiḥ,SR45,1
(a) medaḥkṣayaḥ,SR48,1
(a) medovṛddhiḥ,SP62,1
(a) asthikṣayaḥ,SR4A,1
(a) asthivṛddhiḥ,SR49,1
(a) majjākṣayaḥ,SR4C,1
(a) majjāvṛddhiḥ,SR4B,1
(a) śukravṛddhiḥ (a) śukrādhikyam,SR4D,1
(a) ārtavakṣayaḥ,SR4K,1
(a) ārtavavṛddhiḥ,SR4J,1
(a) stanyakṣayaḥ,SN10,1
(a) stanyavṛddhiḥ,SR4L,1
(a) ojovaiṣamyam,SP93,1
(a) ojaḥkṣayaḥ,SR4F,1
(a) ojovisraṃsaḥ,SR4H,1
(a) ojovyāpat,SR4G,1
(a) rājayakṣmā,SP5B,1
(a) svedavṛddhiḥ,SN45,1
mūtrakṣayaḥ,SR83,1
(a) mūtravṛddhiḥ,SR82,1
(a) purīṣakṣayaḥ,SR81,1
(a) purīṣavṛddhiḥ,SR80,1
(a) sāmamalaḥ,SR86,1
(a) svedakṣayaḥ,SR85,1
(a) agnivaiṣamyam,SS10,1
(a) āmadoṣaḥ (a) āmavasthā,SS15,1
"(a) mandāgniḥ, (a) agnisādaḥ",SS13,1
(a) viṣamāgniḥ,SS11,1
(a) tīkṣṇāgniḥ,SS12,1
"(a) atyagniḥ, (a) bhasmakaḥ",SS14,1
(a) srotovaiṣamyam,SR5Z,1
(a) prāṇavahasrotoduṣṭiḥ,SR57,1
(a) hikkā,SM74,1
(a) mahatīhikkā (a) gambhīrāhikkā,SM74,1
(a) gambhīrāhikkā,SM74,1
"(a) vyapetāhikkā, (a) yamalāhikkā",SM74,1
(a) kṣudrā hikkā,SM74,1
(a) kāsaḥ,SL41,1
(a) śvāsaḥ,SL42,1
(a) tamakaśvāsaḥ,SL40,1
(a)pratamakaśvāsaḥ,SL40,1
(a)santamakaśvāsaḥ,SL40,1
(a) svarabhedaḥ,SL03,1
(a) annavahasrotoduṣṭiḥ,SR59,1
(a) atisāraḥ,SM37,1
(a) ajīrṇam,SM3B,1
(a) visūcikā,SM76,1
(a) vilambikā,SM34,1
(a) alasaka,SM3C,1
(a) amlapittam,SM39,1
(a) ūrdhvagata-amlapittam (a) ūrdhvaga-amlapittam,SM39,1
(a) adhōga-amlapittam (a) adhogata-amlapittam,SM39,1
(a) arocakaḥ,SM71,1
(a) chardiḥ,SM3L,1
(a) vātaja-chardiḥ,SM3J,1
(a) grahaṇīl,SM36,1
(a) gulmaḥ,SM3K,1
(a) pravāhikā,SM38,1
(a) raktaja-pravāhikā,SM72,1
(a) śūlaḥ,SM33,1
(a) vātapaittikaśūlaḥ,SM3F,1
(a) pariṇāmaśūlaḥ,SM3D,1
(a) annadravaśūlaḥ,SM3E,1
(a) pārśvarujaḥ (a) pārśvaśūlaḥ,SM70,1
(a) udāvartaḥ,SM35,1
(a) parikartikā,SM51,1
(a) purīṣavahasrotoduṣṭiḥ,SR5A,1
(a) hṛdrogaḥ,SL61,1
(a) jvara,SP51,1
(a) vātikajvaraḥ,SP54,1
(a) paittikajvaraḥ,SP53,1
(a) kaphajajvaraḥ,SP52,1
(a) kaphavātajajvaraḥ,SP5Y,1
(a) vātapittajajvaraḥ,SP5Y,1
(a) kaphapittajajvaraḥ,SP5Y,1
(a) sannipātajajvaraḥ,SP5Y,1
(a) āgantujvaraḥ,SP59,1
