ayurveda_term,icd_code,icd_title,similarity_score,relationship
vyādhi-viniścayaḥ,SK00,cephalalgia disorder tm2,0.0,weak
vikāraḥ,SK00,cephalalgia disorder tm2,0.0,weak
dōṣavaiṣamyam,SK00,cephalalgia disorder tm2,0.0,weak
vātavyādhiḥ,SK00,cephalalgia disorder tm2,0.0,weak
dōṣāvasthā (vāta),SR10,vitiation of vāta pattern tm2,0.3145,weak
(a) vātasañcayaḥ,SR11,accumulation of vata pattern tm2,0.3091,weak
(a) vātavṛddhiḥ,SL02,hoarseness of voice disorder tm2,0.2078,weak
(a) vātaprakopaḥ,SR10,vitiation of vāta pattern tm2,0.1631,weak
(a) vātaprakopaḥ,SR10,vitiation of vāta pattern tm2,0.1631,weak
prāṇavātakōpaḥ,SL41,cough disorder tm2,0.138,weak
udānavātakōpaḥ,SL08,lymphadenopathy in throat region disorder tm2,0.2348,weak
vyānavātakōpaḥ,SP54,fever with body pain disorder tm2,0.1812,weak
samānavātakōpaḥ,SS10,derangement of digestive power pattern tm2,0.2011,weak
apānavātakōpaḥ,SM55,rectal prolapse disorder tm2,0.2778,weak
(a) vātaprasaraḥ,SR13,spreading of vata pattern tm2,0.2426,weak
(a) vātakṣayaḥ,SR14,depletion of vata pattern tm2,0.1816,weak
nānātmajavātavikāraḥ,SK00,cephalalgia disorder tm2,0.0,weak
(a) atipralāpaḥ                       (a) pralāpakaḥ,SQ00,delirium disorder tm2,0.1531,weak
(a) anavasthitacittatvam,SQ05,lack of concentration confusion disorder tm2,0.2309,weak
(a) aṅgamardaḥ,SK00,cephalalgia disorder tm2,0.0,weak
(a) aṅgaśuṣkatā,SK00,cephalalgia disorder tm2,0.0,weak
(a) aṅgavibhraṁśaḥ,SP21,atony disorder tm2,0.2472,weak
arditaḥ (kēvalavāta),SK20,facial palsy disorder tm2,0.1194,weak
(a) arasajñatā,SR4L,increased secretion of breast milk pattern tm2,0.2299,weak
(a) arasajñatā,SR4L,increased secretion of breast milk pattern tm2,0.2299,weak
aśabdaśravaṇam (kēvalavāta),SK86,tinnitus disorder tm2,0.1553,weak
asvapnaḥ (kēvalavāta),SQ24,insomnia disorder tm2,0.1187,weak
akṣibhēdaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
akṣivyudāsaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
akṣiśūlaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
āṭōpaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
ākṣēpakaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
(a) uccaiḥśrutiḥ,SK84,dysacousia disorder tm2,0.2041,weak
(a) uccaiḥśrutiḥ,SK84,dysacousia disorder tm2,0.2041,weak
udarāvēṣṭaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
udāvartaḥ (kēvalavāta),SM35,volvulus disorder tm2,0.2281,weak
ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),SK55,weakness of thighs due to vata disorder tm2,0.3193,weak
ūrusādaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
ēkāṅgarōgaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
ōṣṭhabhēdaḥ (kēvalavāta),SK00,cephalalgia disorder tm2,0.0,weak
(a) kaṇṭhodhvaṃsaḥ,SL02,hoarseness of voice disorder tm2,0.193,weak
(a) kaṇṭhodhvaṃsaḥ,SL02,hoarseness of voice disorder tm2,0.193,weak
karṇaśūlaḥ (kēvalavāta),SK87,otalgia disorder tm2,0.0829,weak
kampaḥ/vēpathuḥ (kēvalavāta),SK52,tremor disorder tm2,0.0978,weak
(a) kaṣāyāsyatā,SK00,cephalalgia disorder tm2,0.0,weak
