namc_code,top1_pred,top1_score,top1_tag,top2_pred,top2_score,top2_tag,top3_pred,top3_score,top3_tag,top4_pred,top4_score,top4_tag,top5_pred,top5_score,top5_tag
AYU,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
DIS,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
A,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AA,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AAA,SR10,0.37718970359232085,Weak,SR20,0.2048965875248856,Weak,SR12,0.20405459519995547,Weak,SP54,0.18748513119254046,Weak,SP43,0.17920319524233716,Weak
AAA-1,SR11,0.9059924670656971,Equivalent,SR10,0.26281476080258526,Weak,SR20,0.2538354217478774,Weak,SR16,0.20356850778353242,Weak,SR1B,0.20292982447551855,Weak
AAA-2,SR12,0.7052249533242936,Equivalent,SL02,0.2301752918750719,Weak,SN41,0.19078996925096703,Weak,SR62,0.13195941068507036,Weak,SR63,0.12769154821556,Weak
AAA-2.1,SR10,0.7583545676180907,Equivalent,SR12,0.1456648563755748,Weak,SR17,0.14229691231225133,Weak,SR1C,0.14163708587748572,Weak,SP4Y,0.1337932747248435,Weak
AAA-2.2,SS2D,0.1265548725960197,Weak,SK2Z,0.12340997244848091,Weak,SL41,0.12021679851996492,Weak,SR64,0.11518463592580941,Weak,SK7Z,0.1140028466510809,Weak
AAA-2.3,SL0Z,0.3982701797253307,Weak,SL0Y,0.31564022057450447,Weak,SL2Z,0.23788235138516461,Weak,SL08,0.18884658543080898,Weak,SL2Y,0.16864586644020624,Weak
AAA-2.4,SP9Z,0.2687932781462162,Weak,SR4F,0.20264582734164382,Weak,SP9Y,0.19333035755293962,Weak,SR62,0.1876944314566878,Weak,SR1K,0.17822917047645526,Weak
AAA-2.5,SS10,0.22926273479193982,Weak,SM7Y,0.19478210425945403,Weak,SS13,0.17960418648905885,Weak,SK87,0.17812700683283514,Weak,SR4F,0.1762902136535245,Weak
AAA-2.6,SM8Z,0.37790161043886705,Weak,SM55,0.28463135638414466,Weak,SS23,0.2806869784100587,Weak,SN3Z,0.18718599039657413,Weak,SM8Y,0.1665401344184406,Weak
AAA-3,SR13,0.8969762598840112,Equivalent,SR20,0.19741482554000594,Weak,SR18,0.1738510255013101,Weak,SR1D,0.17333503905953826,Weak,SR10,0.15286656821242792,Weak
AAA-4,SR14,0.7908613219490122,Equivalent,SR1K,0.18447757833395248,Weak,SR1L,0.17615000959438026,Weak,SR65,0.1715354963355636,Weak,SR1J,0.1690879870657944,Weak
AAB,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AAB-1,SQ00,0.197144348605661,Weak,SR15,0.13734286563888806,Weak,SR1A,0.1369282265968234,Weak,SR10,0.12931530255321563,Weak,SR20,0.11772407182000232,Weak
AAB-2,SQ05,0.7516951439857823,Equivalent,SP9Z,0.17242541061293537,Weak,SR15,0.17214128505000864,Weak,SR1A,0.17162158934393107,Weak,SR10,0.16207978663172895,Weak
AAB-3,SP9Y,0.5297622100423902,Related,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak
AAB-4,SP9Y,0.5297622100423902,Related,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak
AAB-5,SP21,0.8083768433231434,Equivalent,SR65,0.14566127307005913,Weak,SR20,0.1351102595538938,Weak,SK20,0.12005655691277575,Weak,ST20,0.09946947758299267,Weak
AAB-6,SK20,0.12390139370439826,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AAB-7,SM1P,0.6696707411177323,Equivalent,SR65,0.26196911295461534,Weak,SR4L,0.22751927943000405,Weak,SS10,0.14311090599090798,Weak,SR4M,0.13440485554998308,Weak
AAB-8,SK86,0.20319236238142357,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AAB-9,SQ24,0.1478374512467977,Weak,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak
AAB-10,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AAB-11,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AAB-12,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AAB-13,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
AAB-14,SM4Y,0.0,Weak,SM4Z,0.0,Weak,SM40,0.0,Weak,SM41,0.0,Weak,SM42,0.0,Weak
