Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
SK5Y,"Other specified head, brain, nerve and movement disorders (TM2)",,,,,"Other specified head, brain, nerve and movement disorders (TM2); Head and neck rigidity disorder (TM2); (a) Grīvāśūla; (a) śirograhaḥ; Incoherent speech disorder (TM2); (a) ghargharavākyatā; Foot drop disorder (TM2); (a) pādabhraṃśaḥ; Lathyrism disorder (TM2); (a) kalāyakhañjaḥ; Lock-jaw disorder (TM2); (a) hanugrahaḥ (a) hanusraṃsa; Trismus (TM2); Twitching eyebrow disorder (TM2); (a) bhrūvyudāsaḥ; Cerebrasthenia disorder (TM2); (c) Ḍu‘f al-Dimāgh; Obsession disorder (TM2); (c) waswAs; Stroke disorder (TM2); (c) Sakta; (c) sekteh; Stroke due to Balgham disorder (TM2); (c) Sakta Balghamiyya; (c) sekteh-ye balghami; Stroke due to Sawdā ' disorder (TM2); (c) Sakta Sawdāwiyya; (c) sekteh-ye sowdAwi; Ethmoid obstruction disorder (TM2); (c) Sudda’-i-Miṣfāt; Morbid temperament of nerve disorder (TM2); (c) Sū’-i-Mizāj ‘Aṣab; (c) sou-e mezAj-e asab; Nerve weakness disorder (TM2); (c) Ḍu‘f-i-‘Aṣab; (c) za'f-e asab; Muscle distension disorder (TM2); (c) Tamaddud; (c) tamaddod; Cold nerve disorder (TM2); (c) Marad-i- ‘Aṣab Bārid; (c) maraz-e bAredeh asab"
SK5Z,"Head, brain, nerve and movement disorders (TM2), unspecified",,,,,"Head, brain, nerve and movement disorders (TM2), unspecified"
SK0Y,Other specified headache disorders (TM2),,,,,Other specified headache disorders (TM2); Splitting pain of forehead disorder (TM2); (a) lalāṭabhedaḥ
SK0Z,"Headache disorders (TM2), unspecified",,,,,"Headache disorders (TM2), unspecified"
SK00,Cephalalgia disorder (TM2),,,,,Cephalalgia disorder (TM2); (a) śiraḥśūla; (a) śiroruk; (b) Maṇṭaikkuttiyal; (c) Ṣudā‘; Heaviness of head disorder (TM2); (b) Maṇṭai kaṇappu; Scalp pain disorder (TM2); (b) Maṇṭai cūlai; Aiya aggravation and headache disorder (TM2); (b) Cilēṭṭuma talai nōkkāṭu; Mukkuṟṟam aggravation and headache disorder (TM2); (b) Caṉṉivāta nōkkāṭu; Vaḷi aggravation and headache disorder (TM2); (b) Vātattalai nōkkāṭu; Cluster headache disorder (TM2); (b) Oru talaiyiṉ vartam; Circumferential headache disorder (TM2); (c) Bayḍa-o-Khūdha; Helmet Headache (TM2); Organic Headache (TM2); Catarrhal headache disorder (TM2); (c) Ṣudā‘ Nazlī; Headache due to weakness of brain disorder (TM2); (c) Ṣudā‘ Ḍu‘f Dimāghī; Occipital headache due to hypertension disorder (TM2); (b) SIratta pitta nōkkāṭu; Head disorder due to depletion of fundamental structural components disorder (TM2); (a) kṣayajaśirorogaḥ; Temporal headache disorder (TM2); (a) śaṅkhakaḥ; Throbbing headache disorder (TM2); (c) Ṣudā‘ Ḍarabānī; Headache due to smell disorder (TM2); (c) Ṣudā‘ Shammī; Trigeminal neuralgia disorder (TM2); (a) anantavātaḥ; Referred headache due to the involvement of the liver disorder (TM2); (c) Ṣudā‘ Shirkī Kabidī; Referred headache due to the involvement of the peritoneum disorder (TM2); (c) Ṣudā‘ Marāqī; Referred headache due to the involvement of the stomach disorder (TM2); (c) Ṣudā‘ Shirkī Mi‘dī; Headache due to derangement of Ṣafrā’ disorder (TM2); (c) Ṣudā‘ Ṣafrāwī; Headache due to derangement of Balgham disorder (TM2); (c) Ṣudā‘ Balghamī; Inflammatory headache disorder (TM2); (c) Ṣudā‘ Waramī; Headache due to external Bukhārāt disorder (TM2); (c) Ṣudā‘ Bukhārī Khārijī; Headache due to excessive coldness disorder (TM2); (c) Ṣudā‘ Bārid; Headache due to excessive hotness disorder (TM2); (c) Ṣudā‘ Ḥārr; Headache due to external Rīḥ disorder (TM2); (c) Ṣudā‘ Rīḥī Khārijī; Headache due to derangement of Dam disorder (TM2); (c) Ṣudā‘ Damawī; Headache due to derangement of Sawdā’ disorder (TM2); (c) Ṣudā‘ Sawdāwī; Headache due to internal Bukhārāt disorder (TM2); (c) Ṣudā‘ Bukhārī Dākhilī; Headache due to internal Rīḥ disorder (TM2); (c) Ṣudā‘ Rīḥī Dākhilī; Sunshine induced cephalalgia disorder (TM2); (a) sūryāvartaḥ; Headache due to infestation disorder (TM2); (a) kṛmija-śirorogaḥ
SK01,Migraine disorder (TM2),,,,,Migraine disorder (TM2); (a) ardhāvabhedakaḥ (c) Shaqīqa; (b) Kapāla aẕaṟkuṇam; Acute migraine disorder (TM2); (c) Shaqīqa Ḥārra; Migraine due to hot humours (TM2); Chronic migraine disorder (TM2); (c) Shaqīqa Bārida; Migraine due to cold humours (TM2)
SK1Y,Other specified nervous system disorders (TM2),,,,,Other specified nervous system disorders (TM2)
SK1Z,"Nervous system disorders (TM2), unspecified",,,,,"Nervous system disorders (TM2), unspecified"
SK10,Vertigo and giddiness disorder (TM2),,,,,Vertigo and giddiness disorder (TM2); (a) bhramaḥ (b) Aẕal kiṟukiṟuppu (c) Sadr-o-Duwār; Vertigo and giddiness due to Balgham disorder (TM2); (c) Sadr-o-Duwār Dimāghī Balghamī; Vertigo and giddiness due to Dam disorder (TM2); (c) Sadr-o-Duwār Dimāghī Damawī; Vertigo and giddiness due to Ṣafrā’ disorder (TM2); (c) Sadr-o-Duwār Dimāghī Ṣafrāwī; Vertigo and giddiness due to Sawdā’ disorder (TM2); (c) Sadr-o-Duwār Dimāghī Sawdāwī; Secondary vertigo and giddiness disorder (TM2); (c) Sadr-o-Duwār Shirkī
SK2Y,Other specified paralysis disorders (TM2),,,,,Other specified paralysis disorders (TM2); Lameness (unilateral) disorder (TM2); (a) khañjatvam; (a) khañjaḥ
