code,title,fully_specified_name,description,inclusions,exclusions,index_terms,chapter,search_text,normalized_title,term
01,Certain infectious or parasitic diseases,,"This chapter includes certain conditions caused by pathogenic organisms or microorganisms, such as bacteria, viruses, parasites or fungi.",,"Infection arising from device, implant or graft, not elsewhere classified",,chapter1,"certain infectious or parasitic diseases certain infectious or parasitic diseases certain infectious or parasitic diseases this chapter includes certain conditions caused by pathogenic organisms or microorganisms, such as bacteria, viruses, parasites or fungi. infection arising from device, implant or graft, not elsewhere classified",certain infectious or parasitic diseases,Certain infectious or parasitic diseases
1A00,Cholera,Intestinal infection due to Vibrio cholerae,"Cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis. Cholera outbreaks are caused by toxigenic strains of Vibrio cholerae serogroups O1 and O139. Serogroup O1 has two biovars; classical and eltor. Vibrio cholerae O1, biovar cholerae is classical type. Vibrio cholerae O1, biovar eltor is eltor type.",cholera syndrome,,"Cholera; asiatic cholera; cholera syndrome; epidemic cholera; Intestinal infection due to Vibrio cholerae; Enteritis due to cholera due to Vibrio cholerae, non-O1 strains; Cholera due to Vibrio cholerae O1, biovar cholerae; classical cholera; Enteritis due to Cholera due to Vibrio cholerae O1, biovar cholerae; Enteritis due to classical cholera; Cholera due to Vibrio cholerae O1, biovar eltor; cholera - vibrio cholerae 01 eltor biotype; cholera due to Cholera eltor; cholera due to Vibrio cholerae 01, Cholera eltor; Enteritis due to cholera due to Vibrio cholerae O1, biovar eltor; Enteritis due to cholera due to Cholera eltor; eltor enteritis; infectious enteritis due to vibrio cholerae 01, biovar eltor; Cholera due to Vibrio cholerae O139",chapter1,"intestinal infection due to vibrio cholerae intestinal infection due to vibrio cholerae intestinal infection due to vibrio cholerae intestinal infection due to vibrio cholerae cholera cholera cholera cholera; asiatic cholera; cholera syndrome; epidemic cholera; intestinal infection due to vibrio cholerae; enteritis due to cholera due to vibrio cholerae, non-o1 strains; cholera due to vibrio cholerae o1, biovar cholerae; classical cholera; enteritis due to cholera due to vibrio cholerae o1, biovar cholerae; enteritis due to classical cholera; cholera due to vibrio cholerae o1, biovar eltor; cholera - vibrio cholerae 01 eltor biotype; cholera due to cholera eltor; cholera due to vibrio cholerae 01, cholera eltor; enteritis due to cholera due to vibrio cholerae o1, biovar eltor; enteritis due to cholera due to cholera eltor; eltor enteritis; infectious enteritis due to vibrio cholerae 01, biovar eltor; cholera due to vibrio cholerae o139 cholera; asiatic cholera; cholera syndrome; epidemic cholera; intestinal infection due to vibrio cholerae; enteritis due to cholera due to vibrio cholerae, non-o1 strains; cholera due to vibrio cholerae o1, biovar cholerae; classical cholera; enteritis due to cholera due to vibrio cholerae o1, biovar cholerae; enteritis due to classical cholera; cholera due to vibrio cholerae o1, biovar eltor; cholera - vibrio cholerae 01 eltor biotype; cholera due to cholera eltor; cholera due to vibrio cholerae 01, cholera eltor; enteritis due to cholera due to vibrio cholerae o1, biovar eltor; enteritis due to cholera due to cholera eltor; eltor enteritis; infectious enteritis due to vibrio cholerae 01, biovar eltor; cholera due to vibrio cholerae o139 cholera; asiatic cholera; cholera syndrome; epidemic cholera; intestinal infection due to vibrio cholerae; enteritis due to cholera due to vibrio cholerae, non-o1 strains; cholera due to vibrio cholerae o1, biovar cholerae; classical cholera; enteritis due to cholera due to vibrio cholerae o1, biovar cholerae; enteritis due to classical cholera; cholera due to vibrio cholerae o1, biovar eltor; cholera - vibrio cholerae 01 eltor biotype; cholera due to cholera eltor; cholera due to vibrio cholerae 01, cholera eltor; enteritis due to cholera due to vibrio cholerae o1, biovar eltor; enteritis due to cholera due to cholera eltor; eltor enteritis; infectious enteritis due to vibrio cholerae 01, biovar eltor; cholera due to vibrio cholerae o139 cholera syndrome cholera syndrome cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis. cholera outbreaks are caused by toxigenic strains of vibrio cholerae serogroups o1 and o139. serogroup o1 has two biovars; classical and eltor. vibrio cholerae o1, biovar cholerae is classical type. vibrio cholerae o1, biovar eltor is eltor type.",cholera,Intestinal infection due to Vibrio cholerae
1A01,Intestinal infection due to other Vibrio,,,,,Intestinal infection due to other Vibrio; Infections due to Vibrio parahaemolyticus; Infections due to Vibrio vulnificus,chapter1,intestinal infection due to other vibrio intestinal infection due to other vibrio intestinal infection due to other vibrio intestinal infection due to other vibrio; infections due to vibrio parahaemolyticus; infections due to vibrio vulnificus intestinal infection due to other vibrio; infections due to vibrio parahaemolyticus; infections due to vibrio vulnificus intestinal infection due to other vibrio; infections due to vibrio parahaemolyticus; infections due to vibrio vulnificus,intestinal infection due to other vibrio,Intestinal infection due to other Vibrio
1A02,Intestinal infections due to Shigella,,"A disease caused by an infection with the gram-negative bacteria genus Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample.",,,Intestinal infections due to Shigella; bacillary colitis; bacillary dysentery NOS; shigella enteritis; shigellosis; Shigellosis due to Shigella dysenteriae; Group A shigellosis; Schmitz dysentery; Shiga-Kruse dysentery; bacillary dysentery due to shigella dysenteriae; bacillary dysentery due to shigella group A; dysentery due to bacillus schmitz; dysentery due to bacillus schmitz-stutzer; dysentery due to bacillus shiga; dysentery due to bacillus shiga-kruse; infection due to bacillus shiga; infection due to bacillus shiga-kruse; infection due to shigella dysenteriae; infection due to shigella group A; infection due to shigella schmitzii; shiga dysentery; Enteritis in shigellosis due to Shigella dysenteriae; Enteritis in Shigellosis due to Group A shigellosis; Enteritis in Shigellosis due to Shiga-Kruse dysentery; Colitis in shigellosis due to Shigella dysenteriae; Shigellosis due to Shigella flexneri; Flexner dysentery; Group B shigellosis; Hiss-Russell dysentery; bacillary dysentery due to shigella flexneri; bacillary dysentery due to shigella group B; bacillus flexner infection (deprecated); dysentery due to bacillus flexneri; infection due to group B shigella; shigella flexneri infection; Enteritis in shigellosis due to Shigella flexneri; Group B shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella flexneri; Shigellosis due to Shigella boydii; Boyd dysentery; Group C shigellosis; bacillary dysentery due to shigella boydii; bacillary dysentery due to shigella group C; infection due to group C shigella; infection due to shigella boydii; Enteritis in shigellosis due to Shigella boydii; Group C shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella boydii; Shigellosis due to Shigella sonnei; Group D shigellosis; Sonne dysentery; bacillary dysentery due to shigella group D; bacillary dysentery due to shigella sonnei; infection due to group D shigella; infection due to shigella sonnei; Enteritis in shigellosis due to Shigella sonnei; Group D shigellosis resulting in enteritis; Colitis in shigellosis due to Shigella sonnei; Bacterial colitis due to Shigella; Bacterial enteritis due to Shigella; Sepsis due to shigella without mention of septic shock; Sepsis due to shigella NOS; Sepsis due to shigella with septic shock,chapter1,"intestinal infections due to shigella intestinal infections due to shigella intestinal infections due to shigella intestinal infections due to shigella; bacillary colitis; bacillary dysentery nos; shigella enteritis; shigellosis; shigellosis due to shigella dysenteriae; group a shigellosis; schmitz dysentery; shiga-kruse dysentery; bacillary dysentery due to shigella dysenteriae; bacillary dysentery due to shigella group a; dysentery due to bacillus schmitz; dysentery due to bacillus schmitz-stutzer; dysentery due to bacillus shiga; dysentery due to bacillus shiga-kruse; infection due to bacillus shiga; infection due to bacillus shiga-kruse; infection due to shigella dysenteriae; infection due to shigella group a; infection due to shigella schmitzii; shiga dysentery; enteritis in shigellosis due to shigella dysenteriae; enteritis in shigellosis due to group a shigellosis; enteritis in shigellosis due to shiga-kruse dysentery; colitis in shigellosis due to shigella dysenteriae; shigellosis due to shigella flexneri; flexner dysentery; group b shigellosis; hiss-russell dysentery; bacillary dysentery due to shigella flexneri; bacillary dysentery due to shigella group b; bacillus flexner infection (deprecated); dysentery due to bacillus flexneri; infection due to group b shigella; shigella flexneri infection; enteritis in shigellosis due to shigella flexneri; group b shigellosis resulting in enteritis; colitis in shigellosis due to shigella flexneri; shigellosis due to shigella boydii; boyd dysentery; group c shigellosis; bacillary dysentery due to shigella boydii; bacillary dysentery due to shigella group c; infection due to group c shigella; infection due to shigella boydii; enteritis in shigellosis due to shigella boydii; group c shigellosis resulting in enteritis; colitis in shigellosis due to shigella boydii; shigellosis due to shigella sonnei; group d shigellosis; sonne dysentery; bacillary dysentery due to shigella group d; bacillary dysentery due to shigella sonnei; infection due to group d shigella; infection due to shigella sonnei; enteritis in shigellosis due to shigella sonnei; group d shigellosis resulting in enteritis; colitis in shigellosis due to shigella sonnei; bacterial colitis due to shigella; bacterial enteritis due to shigella; sepsis due to shigella without mention of septic shock; sepsis due to shigella nos; sepsis due to shigella with septic shock intestinal infections due to shigella; bacillary colitis; bacillary dysentery nos; shigella enteritis; shigellosis; shigellosis due to shigella dysenteriae; group a shigellosis; schmitz dysentery; shiga-kruse dysentery; bacillary dysentery due to shigella dysenteriae; bacillary dysentery due to shigella group a; dysentery due to bacillus schmitz; dysentery due to bacillus schmitz-stutzer; dysentery due to bacillus shiga; dysentery due to bacillus shiga-kruse; infection due to bacillus shiga; infection due to bacillus shiga-kruse; infection due to shigella dysenteriae; infection due to shigella group a; infection due to shigella schmitzii; shiga dysentery; enteritis in shigellosis due to shigella dysenteriae; enteritis in shigellosis due to group a shigellosis; enteritis in shigellosis due to shiga-kruse dysentery; colitis in shigellosis due to shigella dysenteriae; shigellosis due to shigella flexneri; flexner dysentery; group b shigellosis; hiss-russell dysentery; bacillary dysentery due to shigella flexneri; bacillary dysentery due to shigella group b; bacillus flexner infection (deprecated); dysentery due to bacillus flexneri; infection due to group b shigella; shigella flexneri infection; enteritis in shigellosis due to shigella flexneri; group b shigellosis resulting in enteritis; colitis in shigellosis due to shigella flexneri; shigellosis due to shigella boydii; boyd dysentery; group c shigellosis; bacillary dysentery due to shigella boydii; bacillary dysentery due to shigella group c; infection due to group c shigella; infection due to shigella boydii; enteritis in shigellosis due to shigella boydii; group c shigellosis resulting in enteritis; colitis in shigellosis due to shigella boydii; shigellosis due to shigella sonnei; group d shigellosis; sonne dysentery; bacillary dysentery due to shigella group d; bacillary dysentery due to shigella sonnei; infection due to group d shigella; infection due to shigella sonnei; enteritis in shigellosis due to shigella sonnei; group d shigellosis resulting in enteritis; colitis in shigellosis due to shigella sonnei; bacterial colitis due to shigella; bacterial enteritis due to shigella; sepsis due to shigella without mention of septic shock; sepsis due to shigella nos; sepsis due to shigella with septic shock intestinal infections due to shigella; bacillary colitis; bacillary dysentery nos; shigella enteritis; shigellosis; shigellosis due to shigella dysenteriae; group a shigellosis; schmitz dysentery; shiga-kruse dysentery; bacillary dysentery due to shigella dysenteriae; bacillary dysentery due to shigella group a; dysentery due to bacillus schmitz; dysentery due to bacillus schmitz-stutzer; dysentery due to bacillus shiga; dysentery due to bacillus shiga-kruse; infection due to bacillus shiga; infection due to bacillus shiga-kruse; infection due to shigella dysenteriae; infection due to shigella group a; infection due to shigella schmitzii; shiga dysentery; enteritis in shigellosis due to shigella dysenteriae; enteritis in shigellosis due to group a shigellosis; enteritis in shigellosis due to shiga-kruse dysentery; colitis in shigellosis due to shigella dysenteriae; shigellosis due to shigella flexneri; flexner dysentery; group b shigellosis; hiss-russell dysentery; bacillary dysentery due to shigella flexneri; bacillary dysentery due to shigella group b; bacillus flexner infection (deprecated); dysentery due to bacillus flexneri; infection due to group b shigella; shigella flexneri infection; enteritis in shigellosis due to shigella flexneri; group b shigellosis resulting in enteritis; colitis in shigellosis due to shigella flexneri; shigellosis due to shigella boydii; boyd dysentery; group c shigellosis; bacillary dysentery due to shigella boydii; bacillary dysentery due to shigella group c; infection due to group c shigella; infection due to shigella boydii; enteritis in shigellosis due to shigella boydii; group c shigellosis resulting in enteritis; colitis in shigellosis due to shigella boydii; shigellosis due to shigella sonnei; group d shigellosis; sonne dysentery; bacillary dysentery due to shigella group d; bacillary dysentery due to shigella sonnei; infection due to group d shigella; infection due to shigella sonnei; enteritis in shigellosis due to shigella sonnei; group d shigellosis resulting in enteritis; colitis in shigellosis due to shigella sonnei; bacterial colitis due to shigella; bacterial enteritis due to shigella; sepsis due to shigella without mention of septic shock; sepsis due to shigella nos; sepsis due to shigella with septic shock a disease caused by an infection with the gram-negative bacteria genus shigella. this disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. this disease may also present with toxaemia, vomiting, cramps, and tenesmus. transmission is by ingestion of contaminated food, or direct contact. confirmation is by identification of shigella in a faecal sample.",intestinal infections due to shigella,Intestinal infections due to Shigella
1A03,Intestinal infections due to Escherichia coli,,"Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli.",,,,chapter1,"intestinal infections due to escherichia coli intestinal infections due to escherichia coli intestinal infections due to escherichia coli any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria escherichia coli.",intestinal infections due to escherichia coli,Intestinal infections due to Escherichia coli
1A03.0,Enteropathogenic Escherichia coli infection,,"An infection of the gastrointestinal system, caused by the gram-negative bacteria Escherichia coli. It is characterised by acute, profuse, watery diarrhoea. Transmission is by the faecal-oral route from contaminated food, water, or fomites. Confirmation is by identification of enteropathogenic Escherichia coli (EPEC) in a faecal sample.",,,Enteropathogenic Escherichia coli infection; EPEC - [Enteropathogenic Escherichia coli] infection; Enteritis in enteropathogenic Escherichia coli infection; Colitis in enteropathogenic Escherichia coli infection,chapter1,"enteropathogenic escherichia coli infection enteropathogenic escherichia coli infection enteropathogenic escherichia coli infection enteropathogenic escherichia coli infection; epec - [enteropathogenic escherichia coli] infection; enteritis in enteropathogenic escherichia coli infection; colitis in enteropathogenic escherichia coli infection enteropathogenic escherichia coli infection; epec - [enteropathogenic escherichia coli] infection; enteritis in enteropathogenic escherichia coli infection; colitis in enteropathogenic escherichia coli infection enteropathogenic escherichia coli infection; epec - [enteropathogenic escherichia coli] infection; enteritis in enteropathogenic escherichia coli infection; colitis in enteropathogenic escherichia coli infection an infection of the gastrointestinal system, caused by the gram-negative bacteria escherichia coli. it is characterised by acute, profuse, watery diarrhoea. transmission is by the faecal-oral route from contaminated food, water, or fomites. confirmation is by identification of enteropathogenic escherichia coli (epec) in a faecal sample.",enteropathogenic escherichia coli infection,Enteropathogenic Escherichia coli infection
1A03.1,Enterotoxigenic Escherichia coli infection,,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute, watery diarrhoea due to toxins released from the bacteria. Transmission is by the faecal-oral route from ingestion of contaminated food, water, or fomites. Confirmation is by identification of enterotoxigenic Escherichia coli (ETEC) in faecal sample.",,,Enterotoxigenic Escherichia coli infection; ETEC - [Enterotoxigenic Escherichia coli] infection; enterotoxic Escherichia coli infection; Enteritis in enterotoxigenic Escherichia coli infection; Colitis in enterotoxigenic Escherichia coli infection,chapter1,"enterotoxigenic escherichia coli infection enterotoxigenic escherichia coli infection enterotoxigenic escherichia coli infection enterotoxigenic escherichia coli infection; etec - [enterotoxigenic escherichia coli] infection; enterotoxic escherichia coli infection; enteritis in enterotoxigenic escherichia coli infection; colitis in enterotoxigenic escherichia coli infection enterotoxigenic escherichia coli infection; etec - [enterotoxigenic escherichia coli] infection; enterotoxic escherichia coli infection; enteritis in enterotoxigenic escherichia coli infection; colitis in enterotoxigenic escherichia coli infection enterotoxigenic escherichia coli infection; etec - [enterotoxigenic escherichia coli] infection; enterotoxic escherichia coli infection; enteritis in enterotoxigenic escherichia coli infection; colitis in enterotoxigenic escherichia coli infection a condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria escherichia coli. this condition is characterised by acute, watery diarrhoea due to toxins released from the bacteria. transmission is by the faecal-oral route from ingestion of contaminated food, water, or fomites. confirmation is by identification of enterotoxigenic escherichia coli (etec) in faecal sample.",enterotoxigenic escherichia coli infection,Enterotoxigenic Escherichia coli infection
1A03.2,Enteroinvasive Escherichia coli infection,,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute and profuse diarrhoea (that may be haemorrhagic), fever, and abdominal cramps. Transmission is by the faecal-oral route from ingestion of contaminated food or water. Confirmation is by identification of enteroinvasive Escherichia coli (EIEC) in a faecal sample.",,,Enteroinvasive Escherichia coli infection; EIEC - [Enteroinvasive Escherichia coli] infection; Enteritis in enteroinvasive Escherichia coli infection; Colitis in enteroinvasive Escherichia coli infection,chapter1,"enteroinvasive escherichia coli infection enteroinvasive escherichia coli infection enteroinvasive escherichia coli infection enteroinvasive escherichia coli infection; eiec - [enteroinvasive escherichia coli] infection; enteritis in enteroinvasive escherichia coli infection; colitis in enteroinvasive escherichia coli infection enteroinvasive escherichia coli infection; eiec - [enteroinvasive escherichia coli] infection; enteritis in enteroinvasive escherichia coli infection; colitis in enteroinvasive escherichia coli infection enteroinvasive escherichia coli infection; eiec - [enteroinvasive escherichia coli] infection; enteritis in enteroinvasive escherichia coli infection; colitis in enteroinvasive escherichia coli infection a condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria escherichia coli. this condition is characterised by acute and profuse diarrhoea (that may be haemorrhagic), fever, and abdominal cramps. transmission is by the faecal-oral route from ingestion of contaminated food or water. confirmation is by identification of enteroinvasive escherichia coli (eiec) in a faecal sample.",enteroinvasive escherichia coli infection,Enteroinvasive Escherichia coli infection
1A03.3,Enterohaemorrhagic Escherichia coli infection,,,,,Enterohaemorrhagic Escherichia coli infection; EHEC - [Enterohaemorrhagic Escherichia coli] infection; Enteritis in enterohaemorrhagic Escherichia coli infection; Colitis in enterohaemorrhagic Escherichia coli infection,chapter1,enterohaemorrhagic escherichia coli infection enterohaemorrhagic escherichia coli infection enterohaemorrhagic escherichia coli infection enterohaemorrhagic escherichia coli infection; ehec - [enterohaemorrhagic escherichia coli] infection; enteritis in enterohaemorrhagic escherichia coli infection; colitis in enterohaemorrhagic escherichia coli infection enterohaemorrhagic escherichia coli infection; ehec - [enterohaemorrhagic escherichia coli] infection; enteritis in enterohaemorrhagic escherichia coli infection; colitis in enterohaemorrhagic escherichia coli infection enterohaemorrhagic escherichia coli infection; ehec - [enterohaemorrhagic escherichia coli] infection; enteritis in enterohaemorrhagic escherichia coli infection; colitis in enterohaemorrhagic escherichia coli infection,enterohaemorrhagic escherichia coli infection,Enterohaemorrhagic Escherichia coli infection
1A04,Intestinal infections due to Clostridioides difficile,,"A disease of the colon, caused by an infection with toxigenic strains of the gram-positive bacteria Clostridioides difficile (formerly known as Clostridium difficile). This disease is characterised by colitis, diarrhoea, abdominal pain, and fever. Transmission is commonly by direct or indirect contact. A disturbance of the normal bacterial flora of the colon, e.g. due to antibiotic treatment, facilitates the development of an intestinal infection with Clostridioides difficile. Confirmation is by identification of Clostridioides difficile in a faecal sample.",Pseudomembranous colitis,Necrotising enterocolitis of newborn,Intestinal infections due to Clostridioides difficile; C diff colitis; C difficile; C difficile infection; C. difficile colitis; CDAD – [clostridioides difficile associated diarrhoea]; CDAD – [clostridium difficile associated diarrhoea]; Clostridium difficile colitis; Clostridium difficile diarrhoea; Clostridium difficile gastroenteritis; colitis due to Clostridium difficile; enterocolitis due to Clostridium difficile; foodborne clostridium difficile infection; necrotizing enterocolitis due to clostridium difficile infection; Pseudomembranous colitis; PMC - [pseudomembranous colitis]; Megacolon due to Clostridioides difficile; megacolon due to Clostridium difficile,chapter1,"intestinal infections due to clostridioides difficile intestinal infections due to clostridioides difficile intestinal infections due to clostridioides difficile intestinal infections due to clostridioides difficile; c diff colitis; c difficile; c difficile infection; c. difficile colitis; cdad – [clostridioides difficile associated diarrhoea]; cdad – [clostridium difficile associated diarrhoea]; clostridium difficile colitis; clostridium difficile diarrhoea; clostridium difficile gastroenteritis; colitis due to clostridium difficile; enterocolitis due to clostridium difficile; foodborne clostridium difficile infection; necrotizing enterocolitis due to clostridium difficile infection; pseudomembranous colitis; pmc - [pseudomembranous colitis]; megacolon due to clostridioides difficile; megacolon due to clostridium difficile intestinal infections due to clostridioides difficile; c diff colitis; c difficile; c difficile infection; c. difficile colitis; cdad – [clostridioides difficile associated diarrhoea]; cdad – [clostridium difficile associated diarrhoea]; clostridium difficile colitis; clostridium difficile diarrhoea; clostridium difficile gastroenteritis; colitis due to clostridium difficile; enterocolitis due to clostridium difficile; foodborne clostridium difficile infection; necrotizing enterocolitis due to clostridium difficile infection; pseudomembranous colitis; pmc - [pseudomembranous colitis]; megacolon due to clostridioides difficile; megacolon due to clostridium difficile intestinal infections due to clostridioides difficile; c diff colitis; c difficile; c difficile infection; c. difficile colitis; cdad – [clostridioides difficile associated diarrhoea]; cdad – [clostridium difficile associated diarrhoea]; clostridium difficile colitis; clostridium difficile diarrhoea; clostridium difficile gastroenteritis; colitis due to clostridium difficile; enterocolitis due to clostridium difficile; foodborne clostridium difficile infection; necrotizing enterocolitis due to clostridium difficile infection; pseudomembranous colitis; pmc - [pseudomembranous colitis]; megacolon due to clostridioides difficile; megacolon due to clostridium difficile pseudomembranous colitis pseudomembranous colitis a disease of the colon, caused by an infection with toxigenic strains of the gram-positive bacteria clostridioides difficile (formerly known as clostridium difficile). this disease is characterised by colitis, diarrhoea, abdominal pain, and fever. transmission is commonly by direct or indirect contact. a disturbance of the normal bacterial flora of the colon, e.g. due to antibiotic treatment, facilitates the development of an intestinal infection with clostridioides difficile. confirmation is by identification of clostridioides difficile in a faecal sample. necrotising enterocolitis of newborn",intestinal infections due to clostridioides difficile,Intestinal infections due to Clostridioides difficile
