Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,Name English,Name English Under Index,Primary Index Related,query,normalized_term
1,1,AYU,vyAdhi-viniScayaH,vyādhi-viniścayaḥ,व्याधि-विनिश्चयः,-,-,-,diagnostic conditions,-,-,vyādhi-viniścayaḥ vyādhi-viniścayaḥ vyādhi-viniścayaḥ vyādhi-viniścayaḥ vyadhi-viniscayah vyadhi-viniscayah vyadhi-viniscayah diagnostic conditions diagnostic conditions व्याधि-विनिश्चयः,vyādhi-viniścayaḥ
2,2,DIS,vikAraH,vikāraḥ,विकारः,-,-,-,disease/disorder,-,-,vikāraḥ vikāraḥ vikāraḥ vikāraḥ vikarah vikarah vikarah disease/disorder disease/disorder विकारः,vikāraḥ
3,3,A,doShavaiShamyam,dōṣavaiṣamyam,दोषवैषम्यम्,-,-,-,derangement of dōṣa,-,-,dōṣavaiṣamyam dōṣavaiṣamyam dōṣavaiṣamyam dōṣavaiṣamyam doshavaishamyam doshavaishamyam doshavaishamyam derangement of dōṣa derangement of dōṣa दोषवैषम्यम्,dōṣavaiṣamyam
4,4,AA,vAtavyAdhiH,vātavyādhiḥ,वातव्याधिः,-,-,-,disorders due to vāta,-,-,vātavyādhiḥ vātavyādhiḥ vātavyādhiḥ vātavyādhiḥ vatavyadhih vatavyadhih vatavyadhih disorders due to vāta disorders due to vāta वातव्याधिः,vātavyādhiḥ
5,5,AAA,doShAvasthA (vAta),dōṣāvasthā (vāta),दोषावस्था (वात),-,-,-,morbid state of dōṣa,-,-,dōṣāvasthā (vāta) dōṣāvasthā (vāta) dōṣāvasthā (vāta) dōṣāvasthā (vāta) doshavastha (vata) doshavastha (vata) doshavastha (vata) morbid state of dōṣa morbid state of dōṣa दोषावस्था (वात),dōṣāvasthā (vāta)
6,6,SR11 (AAA-1),vAtasa~jcayaH,(a) vātasañcayaḥ,वातसञ्चयः,-,"It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation.",-,Accumulation of Vata pattern (TM2),-,Primary,"(a) vātasañcayaḥ (a) vātasañcayaḥ (a) vātasañcayaḥ (a) vātasañcayaḥ vatasa~jcayah vatasa~jcayah vatasa~jcayah accumulation of vata pattern (tm2) accumulation of vata pattern (tm2) primary primary it is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. this may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation. वातसञ्चयः",(a) vātasañcayaḥ
7,7,SR12 (AAA-2),vAtavRuddhiH,(a) vātavṛddhiḥ,वातवृद्धिः,-,"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications.",-,Aggravation of vata pattern (TM2),Increased vāta (TM2),Primary,"(a) vātavṛddhiḥ (a) vātavṛddhiḥ (a) vātavṛddhiḥ (a) vātavṛddhiḥ vatavruddhih vatavruddhih vatavruddhih increased vāta (tm2) increased vāta (tm2) increased vāta (tm2) aggravation of vata pattern (tm2) aggravation of vata pattern (tm2) primary primary it is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. this may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications. वातवृद्धिः",(a) vātavṛddhiḥ
8,8,SR10 (AAA-2.1),vAtaprakopaH,(a) vātaprakopaḥ,वातप्रकोपः,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,-,Vitiation of vāta pattern (TM2),-,Primary,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ vataprakopah vataprakopah vataprakopah vitiation of vāta pattern (tm2) vitiation of vāta pattern (tm2) primary primary it is characterized by abdominal pain and increased gaseous movements in abdomen. this may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity. वातप्रकोपः,(a) vātaprakopaḥ
9,8,SR10  (AAA-2.1),vAtaprakopaH,(a) vātaprakopaḥ,वातप्रकोपः,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,-,Vitiation of vāta pattern (TM2),-,Primary,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ vataprakopah vataprakopah vataprakopah vitiation of vāta pattern (tm2) vitiation of vāta pattern (tm2) primary primary it is characterized by abdominal pain and increased gaseous movements in abdomen. this may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity. वातप्रकोपः,(a) vātaprakopaḥ
10,9,AAA-2.2,prANavAtakopaH,prāṇavātakōpaḥ,प्राणवातकोपः,-,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough]",-,vitiated prāṇavāyu,-,-,"prāṇavātakōpaḥ prāṇavātakōpaḥ prāṇavātakōpaḥ prāṇavātakōpaḥ pranavatakopah pranavatakopah pranavatakopah vitiated prāṇavāyu vitiated prāṇavāyu the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough] प्राणवातकोपः",prāṇavātakōpaḥ
