Sr No.,NUMC_ID,NUMC_CODE,Arabic_term,NUMC_TERM,Short_definition,Long_definition,query,normalized_term
1,0,O-6,رطوبت غریزیہ,Ruṭūbat Gharīziyya,Innate humour,"The moistness of an organ which remains in equilibrium, qualitatively and quantitatively, in accordance to the temperament of that organ.","ruṭūbat gharīziyya ruṭūbat gharīziyya ruṭūbat gharīziyya ruṭūbat gharīziyya رطوبت غریزیہ رطوبت غریزیہ رطوبت غریزیہ رطوبت غریزیہ innate humour innate humour innate humour the moistness of an organ which remains in equilibrium, qualitatively and quantitatively, in accordance to the temperament of that organ.",ruṭūbat gharīziyya
2,1,UM,,,Unani Medicine,,unani medicine unani medicine unani medicine,nan
3,2,UM-DIS,,,Disorders,,disorders disorders disorders,nan
4,3,A,امراض نظام اعصاب و دماغ,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,Diseases of Nervous System,,amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh امراض نظام اعصاب و دماغ امراض نظام اعصاب و دماغ امراض نظام اعصاب و دماغ امراض نظام اعصاب و دماغ diseases of nervous system diseases of nervous system diseases of nervous system,amrāḍ-i-niẓām-i-a‘ṣāb-o-dimāgh
5,4,A-1,بيضہ و خوذہ,Bayḍa-o-Khūdha,Organic headache/Helmet headache,A severe type of chronic headache which involves the whole head. The patient feels that someone is hammering his head. Most of the physicians are of the view that both these types are same but <em>Dā’ūd Anṭākī</em> differentiates them by the site of pain as <em>Bayḍa</em> is a headache which occurs in the central part of head while <em>Khūdha</em> is a headache which is experienced on the periphery of head.,bayḍa-o-khūdha bayḍa-o-khūdha bayḍa-o-khūdha bayḍa-o-khūdha بيضہ و خوذہ بيضہ و خوذہ بيضہ و خوذہ بيضہ و خوذہ organic headache/helmet headache organic headache/helmet headache organic headache/helmet headache a severe type of chronic headache which involves the whole head. the patient feels that someone is hammering his head. most of the physicians are of the view that both these types are same but <em>dā’ūd anṭākī</em> differentiates them by the site of pain as <em>bayḍa</em> is a headache which occurs in the central part of head while <em>khūdha</em> is a headache which is experienced on the periphery of head.,bayḍa-o-khūdha
6,5,A-2,شقيقہ,Shaqīqa,Migraine,A type of severe headache which involves one half of head whether it is right or left. It is an episodic type of pain accompanied with nausea and vomiting.,shaqīqa shaqīqa shaqīqa shaqīqa شقيقہ شقيقہ شقيقہ شقيقہ migraine migraine migraine a type of severe headache which involves one half of head whether it is right or left. it is an episodic type of pain accompanied with nausea and vomiting.,shaqīqa
7,6,A-2.1,شقيقہ حارہ,Shaqīqa Ḥārra,Acute migraine,A type of migraine which is caused by predominance of <em>Ṣafrā’</em> (yellow bile) and <em>Dam</em> (blood/sanguine) in the body.,shaqīqa ḥārra shaqīqa ḥārra shaqīqa ḥārra shaqīqa ḥārra شقيقہ حارہ شقيقہ حارہ شقيقہ حارہ شقيقہ حارہ acute migraine acute migraine acute migraine a type of migraine which is caused by predominance of <em>ṣafrā’</em> (yellow bile) and <em>dam</em> (blood/sanguine) in the body.,shaqīqa ḥārra
8,7,A-2.2,شقيقہ باردہ,Shaqīqa Bārida,Chronic migraine,A type of migraine which is caused by predominance of <em>Balgham</em> (phlegm) and <em>Sawdā’</em> (black bile) in the body.,shaqīqa bārida shaqīqa bārida shaqīqa bārida shaqīqa bārida شقيقہ باردہ شقيقہ باردہ شقيقہ باردہ شقيقہ باردہ chronic migraine chronic migraine chronic migraine a type of migraine which is caused by predominance of <em>balgham</em> (phlegm) and <em>sawdā’</em> (black bile) in the body.,shaqīqa bārida
9,8,A-3,عصابہ,‘Iṣāba,Frontal headache,It is a type of severe headache which occurs on the forehead above the eyebrow. It can involve either sides or both sides. The intensity of pain gradually reduces with the sunset.,‘iṣāba ‘iṣāba ‘iṣāba ‘iṣāba عصابہ عصابہ عصابہ عصابہ frontal headache frontal headache frontal headache it is a type of severe headache which occurs on the forehead above the eyebrow. it can involve either sides or both sides. the intensity of pain gradually reduces with the sunset.,‘iṣāba
10,9,A-4,حس دماغ,Ḥiss-i-Dimāgh,sensation of itching in brain,,ḥiss-i-dimāgh ḥiss-i-dimāgh ḥiss-i-dimāgh ḥiss-i-dimāgh حس دماغ حس دماغ حس دماغ حس دماغ sensation of itching in brain sensation of itching in brain sensation of itching in brain,ḥiss-i-dimāgh
