Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
SK00,Cephalalgia disorder (TM2),,,,,Cephalalgia disorder (TM2); (a) śiraḥśūla; (a) śiroruk; (b) Maṇṭaikkuttiyal; (c) Ṣudā‘; Heaviness of head disorder (TM2); (b) Maṇṭai kaṇappu; Scalp pain disorder (TM2); (b) Maṇṭai cūlai; Aiya aggravation and headache disorder (TM2); (b) Cilēṭṭuma talai nōkkāṭu; Mukkuṟṟam aggravation and headache disorder (TM2); (b) Caṉṉivāta nōkkāṭu; Vaḷi aggravation and headache disorder (TM2); (b) Vātattalai nōkkāṭu; Cluster headache disorder (TM2); (b) Oru talaiyiṉ vartam; Circumferential headache disorder (TM2); (c) Bayḍa-o-Khūdha; Helmet Headache (TM2); Organic Headache (TM2); Catarrhal headache disorder (TM2); (c) Ṣudā‘ Nazlī; Headache due to weakness of brain disorder (TM2); (c) Ṣudā‘ Ḍu‘f Dimāghī; Occipital headache due to hypertension disorder (TM2); (b) SIratta pitta nōkkāṭu; Head disorder due to depletion of fundamental structural components disorder (TM2); (a) kṣayajaśirorogaḥ; Temporal headache disorder (TM2); (a) śaṅkhakaḥ; Throbbing headache disorder (TM2); (c) Ṣudā‘ Ḍarabānī; Headache due to smell disorder (TM2); (c) Ṣudā‘ Shammī; Trigeminal neuralgia disorder (TM2); (a) anantavātaḥ; Referred headache due to the involvement of the liver disorder (TM2); (c) Ṣudā‘ Shirkī Kabidī; Referred headache due to the involvement of the peritoneum disorder (TM2); (c) Ṣudā‘ Marāqī; Referred headache due to the involvement of the stomach disorder (TM2); (c) Ṣudā‘ Shirkī Mi‘dī; Headache due to derangement of Ṣafrā’ disorder (TM2); (c) Ṣudā‘ Ṣafrāwī; Headache due to derangement of Balgham disorder (TM2); (c) Ṣudā‘ Balghamī; Inflammatory headache disorder (TM2); (c) Ṣudā‘ Waramī; Headache due to external Bukhārāt disorder (TM2); (c) Ṣudā‘ Bukhārī Khārijī; Headache due to excessive coldness disorder (TM2); (c) Ṣudā‘ Bārid; Headache due to excessive hotness disorder (TM2); (c) Ṣudā‘ Ḥārr; Headache due to external Rīḥ disorder (TM2); (c) Ṣudā‘ Rīḥī Khārijī; Headache due to derangement of Dam disorder (TM2); (c) Ṣudā‘ Damawī; Headache due to derangement of Sawdā’ disorder (TM2); (c) Ṣudā‘ Sawdāwī; Headache due to internal Bukhārāt disorder (TM2); (c) Ṣudā‘ Bukhārī Dākhilī; Headache due to internal Rīḥ disorder (TM2); (c) Ṣudā‘ Rīḥī Dākhilī; Sunshine induced cephalalgia disorder (TM2); (a) sūryāvartaḥ; Headache due to infestation disorder (TM2); (a) kṛmija-śirorogaḥ
SK01,Migraine disorder (TM2),,,,,Migraine disorder (TM2); (a) ardhāvabhedakaḥ (c) Shaqīqa; (b) Kapāla aẕaṟkuṇam; Acute migraine disorder (TM2); (c) Shaqīqa Ḥārra; Migraine due to hot humours (TM2); Chronic migraine disorder (TM2); (c) Shaqīqa Bārida; Migraine due to cold humours (TM2)
SK10,Vertigo and giddiness disorder (TM2),,,,,Vertigo and giddiness disorder (TM2); (a) bhramaḥ (b) Aẕal kiṟukiṟuppu (c) Sadr-o-Duwār; Vertigo and giddiness due to Balgham disorder (TM2); (c) Sadr-o-Duwār Dimāghī Balghamī; Vertigo and giddiness due to Dam disorder (TM2); (c) Sadr-o-Duwār Dimāghī Damawī; Vertigo and giddiness due to Ṣafrā’ disorder (TM2); (c) Sadr-o-Duwār Dimāghī Ṣafrāwī; Vertigo and giddiness due to Sawdā’ disorder (TM2); (c) Sadr-o-Duwār Dimāghī Sawdāwī; Secondary vertigo and giddiness disorder (TM2); (c) Sadr-o-Duwār Shirkī
SK20,Facial palsy disorder (TM2),,,,,Facial palsy disorder (TM2); (a) arditaḥ (b) Uraka vātam (c) Laqwa; Deviation of one side of face due to spasm of muscles disorder (TM2); (c) Laqwa Tashannujī; Deviation of one side of face due to flaccidity of muscles disorder (TM2); (c) Laqwa Istirkhā’ī
SK21,Paraplegia disorder (TM2),,,,,Paraplegia disorder (TM2); (a) paṅguḥ (c) Fālij Asfal; (a) pāṅgulyam (c) Fālij Aṭrāfī; lameness (bilateral) / lower limb paralysis (TM2)
SK22,Hemiplegia disorder (TM2),,,,,Hemiplegia disorder (TM2); (a) pakṣavadhaḥ; (a) pakṣāghāta (b) Pakṣavātam (c) Fālij; Incomplete hemiplegia disorder (TM2); (b) Pakka vātam; Hemiplegia in children disorder (TM2); (a) bāla-pakṣāghātaḥ; Monoplegia disorder (TM2); (a) ekāṅgavātaḥ; Total body paralysis disorder (TM2); (a) sarvāṅgarogaḥ; (a) sarvāṅgavātaḥ; Quadriplegia (TM2); Tongue paralysis disorder (TM2); (a) jihvāstambhaḥ
SK30,Seizure disorder (TM2),,,,,Seizure disorder (TM2); (a) ākṣepakaḥ (b) Vaḷippu (c) Tashannuj; Whole body stiffness with immobility disorder (TM2); (a) daṇḍakaḥ; Post-traumatic convulsion disorder (TM2); (a) vraṇāyāmaḥ; Irremediable opisthotonos disorder (TM2); (a) asādhyadhanuṣkaṃpa; Opisthotonos disorder (TM2); (a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ; Orthotonus disorder (TM2); (a) apatānakaḥ; Orthotonus with rod like stiffness disorder (TM2); (a) daṇḍāpatānakaḥ; Emprosthotonus disorder (TM2); (a) antarāyāmaḥ; Convulsive fit disorder (TM2); (a) apatantrakaḥ
SK31,Epilepsy disorder (TM2),,,,,Epilepsy disorder (TM2); (a) apasmāraḥ (c) Ṣar‘.; Epilepsy due to Aiyam disorder (TM2); (b) Kākkai Vaḷippu; Epilepsy due to derangement of Sawdā’ disorder (TM2); (c) Ṣar‘ Dimāghī Sawdāwī; Grandmal epilepsy disorder (TM2); (b) Vacaṉā vātam
SK50,Scalp affliction disorder (TM2),,,,,Scalp affliction disorder (TM2); (a) kapāla-rogaḥ (b) Kapāla tērai; Scalp tumour disorder (TM2); (a) kapālarbudaḥ; Neurotrophic ulcer disorder (TM2); (b) Cilaippuṇ; Numbness over scalp disorder (TM2); (b) Maṇṭai timir; Brain disease disorder (TM2); (b) Mūḷai nōy; Infection of palate disorder (TM2); (a) tālukaṇṭakaḥ; Delirium caused by diseases of head disorder (TM2); (b) Maṇṭai caṉṉi
SK51,Cervicobrachial pain disorder (TM2),,,,,Cervicobrachial pain disorder (TM2); (a) viśvācī (b) Cirakkampa vātam (c) Waja‘ al-‘Unuq ‘Aṣabī; (c) Wābila; Cervicobrachial neuralgia (TM2); Peripheral neuritis disorder (TM2); (a) Vātakarṣaṇam; Three humours affected leading to seizure disorder (TM2); (b) Cuka caṉṉi; Tetanus disorder (TM2); (b) Aṣṭa tantira vātam; Aggrevation of Aẕal causing neuralgia disorder (TM2); (b) Timir pittam; Peripheral neuralgia disorder (TM2); (b) Eripittam; Peripheral neuritis due to derangement of Vaḷi disorder (TM2); (b) Vāta upakatam
