Code,title,Fully Specified Name,Description,Inclusions,Exclusions,Index Terms
08,Diseases of the nervous system,,This is a group of conditions characterised as being in or associated with the nervous system.,,"Certain conditions originating in the perinatal period; Complications of pregnancy, childbirth and the puerperium; Endocrine, nutritional or metabolic diseases; Injury, poisoning or certain other consequences of external causes",
8A00,Parkinsonism,,"Parkinsonism is a clinical syndrome characterised by four cardinal features: rest tremor, muscular rigidity, akinesia or bradykinesia, and postural disturbances which include shuffling gait and flexed posture and loss of postural reflexes. Bradykinesia and one other clinical feature is required to make a diagnosis of Parkinsonism. Parkinsonism may result from a variety of conditions including progressive neurodegenerative disorders such as Parkinson Disease or Atypical Parkinsonism where the progressive degeneration of nigral and other neurons leads to dopamine deficiency. Parkinsonism may also be a result of structural lesions such as strokes or tumours or blockage of dopamine receptors in the striatum by drugs such as neuroleptics.",,Myasthenia gravis or certain specified neuromuscular junction disorders; Arthropathies,
8A00.0,Parkinson disease,,"Parkinson Disease is a gradual onset progressive degenerative disease whose cardinal manifestations include bradykinesia plus one of the following-tremor, rigidity or postural instability. Nonmotor manifestations include autonomic dysfunction and neuropsychiatric features.",,,
8A00.00,Sporadic Parkinson disease,,This is defined as Parkinson Disease occurring sporadically with no apparent mode of inheritance.,,,Sporadic Parkinson disease; Young onset sporadic Parkinson disease
8A00.01,Familial Parkinson disease,,"Familial subtype of Parkinson Disease, a disorder caused by progressive dopaminergic neuron degeneration of the substantia nigra that is characterized by resting tremor, bradykinesia, and rigidity. Familial cases can be caused by mutations in LRRK2, PARK7, PINK1, PRKN, or SNCA genes.",,,Familial Parkinson disease; Other genetic Parkinsonism; Autosomal dominant familial Parkinson disease; Parkinson disease LRRK2 gene mutation 12p11.23-q13.11; PARK8; Parkinson disease synuclein gene mutation 4q21.23; PARK1; Parkinson disease synduclein duplications or triplications; Parkinson disease UCHL-1 gene mutations 4p14; PARK5; Autosomal recessive familial Parkinson disease; Parkinson disease parkin mutations; PARK 2; Parkinson disease DJ-1 gene mutations 1p36; PARK 7; Parkinson disease PINK gene mutations; PARK 6; PINK 1; Parkinson disease ATP13A2 mutations
8A00.1,Atypical parkinsonism,,"Atypical parkinsonism is a term used to describe several neurodegenerative conditions where the degeneration extends beyond the substantia nigra and is more extensive than seen in conditions like Parkinson disease. The clinical picture is often more complex than PD and patients may have apraxia, supranuclear ophthalmoplegia or autonomic failure.",,,
8A00.10,Progressive supranuclear palsy,,"Progressive supranuclear palsy (PSP) is a late-onset neurodegenerative disease characterised by supranuclear gaze palsy, postural instability, progressive rigidity, and mild dementia. Five clinical variants have been described with clinicopathological correlations: Classical PSP (Richardson's syndrome), and four atypical variants of PSP including PSP-Parkinsonism (PSP-P), PSP-Pure akinesia with gait freezing (PSP-PAGF), PSP-corticobasal syndrome (PSP-CBS), and PSP-progressive non fluent aphasia (PSP-PNFA).",,,Progressive supranuclear palsy; Steele-Richardson-Olszewksi syndrome; Atypical progressive supranuclear palsy; Progressive supranuclear palsy - corticobasal syndrome; Progressive supranuclear palsy - parkinsonism; Progressive supranuclear palsy - progressive non fluent aphasia; Progressive supranuclear palsy - pure akinesia with gait freezing; Classical progressive supranuclear palsy
8A00.2,Secondary parkinsonism,,"Secondary parkinsonism is a term used to describe Parkinsonism due to a known agent such as drugs, infections, toxins or structural lesions.",,,
8A00.20,Parkinsonism due to heredodegenerative disorders,,"Parkinsonism may occur as a result of more widespread heredodegenerative disorders. It is accompanied by other neurological findings such as dystonia, ataxia and dementia. Other family members may be affected.",,,Parkinsonism due to heredodegenerative disorders; Parkinsonism due to Neurodegeneration with brain iron accumulation NBIA; Parkinsonism due to spinocerebellar ataxias; Parkinsonism in hereditary spastic paraplegia; Parkinsonism in Huntington disease; Parkinsonism in Wilson's disease; X-linked dystonia parkinsonism; Lubag
8A00.21,Hemiparkinsonism hemiatrophy syndrome,,Hemiparkinsonism may follow hemiatrophy of the body due to an intrauterine or early neonatal cerebral damage.,,,Hemiparkinsonism hemiatrophy syndrome
8A00.22,Infectious or postinfectious parkinsonism,,"A syndrome caused by an infection with a bacterial, viral, fungal, or parasitic source, which occurs during or after the acute phase of the infection. This condition is characterised by tremors, slow movement, or stiffness of the arms and legs, similar to symptoms seen in Parkinson disease.",,,Infectious or postinfectious parkinsonism; Parkinsonism in acute infections; Parkinsonism in the setting of chronic infection; Parkinsonism in human immunodeficiency virus infection; Parkinsonism due to prion diseases; Parkinsonism secondary to prion diseases; Postinfectious Parkinsonism; Parkinsonism following mycoplasma infection; Postencephalitic parkinsonism
8A00.23,Vascular parkinsonism,,Multiple lacunar infarcts or diffuse vascular disease of the brain can result in Parkinsonism- imaging often shows multiple lacunar infarcts or diffuse white matter change. The dopamine transporter scan may be normal or abnormal depending upon the site of the infarcts.,,,Vascular parkinsonism
8A00.24,Drug-induced parkinsonism,,Parkinsonism due to prescription medications.,,,Drug-induced parkinsonism; medicament-induced parkinsonism; other drug-induced secondary parkinsonism; treatment-induced akathisia; Dopamine blocking agents-induced Parkinsonism; Dopamine depleting agent-induced Parkinsonism; Parkinsonism due to certain specified drugs
8A00.25,Post traumatic Parkinsonism,,Parkinsonism may be a result of a major head trauma where it occurs in combination with other neurological findings such as weakness and pyramidal signs. It may also occur as a result of multiple blows to the head and may be associated with dementia. It is also called chronic traumatic encephalopathy.,,,Post traumatic Parkinsonism; Parkinsonism due to chronic traumatic encephalopathy; Parkinsonism secondary to chronic traumatic encephalopathy; dementia pugilistica
8A00.26,Parkinsonism due to structural lesions,,Parkinsonism occurring in the setting of a demonstrable structural lesion such as subdural hematoma and brain tumours. Neuroimaging such as Magnetic Resonance Imaging is very helpful. It has to be emphasized that small brain tumours such as meningioma may be an incidental finding in cases of otherwise typical PD.,,,Parkinsonism due to structural lesions
8A00.3,Functional parkinsonism,,Functional movement disorder with mixed features of functional tremor but also slowness and stiffness which can be demonstrated to be variable and internally inconsistent. No cause has been identified after investigation.,Psychogenic parkinsonism,,Functional parkinsonism; Psychogenic parkinsonism
