sr no.,namc_id,namc_code,namc_term,namc_term_diacritical,namc_term_devanagari,short_definition,long_definition,ontology_branches,name english,name english under index,primary index related
8,8,SR10 (AAA-2.1),vAtaprakopaH,(a) vātaprakopaḥ,वातप्रकोपः,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,-,Vitiation of vāta pattern (TM2),-,Primary
9,8,SR10  (AAA-2.1),vAtaprakopaH,(a) vātaprakopaḥ,वातप्रकोपः,-,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,-,Vitiation of vāta pattern (TM2),-,Primary
24,23,SM1P (AAB-7),arasaj~jatA (kEvalavAta),(a) arasajñatā,अरसज्ञता (केवलवात),-,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",-,Ageusia disorder (TM2),-,Primary
25,23,SM1P (AAB-7),arasaj~jatA (kEvalavAta),(a) arasajñatā,अरसज्ञता (केवलवात),-,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",-,Ageusia disorder (TM2),-,Primary
33,31,SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),(a) uccaiḥśrutiḥ,उच्चैःश्रुतिः (केवलवात),-,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",-,Dysacousia disorder (TM2),-,Primary
34,31,SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),(a) uccaiḥśrutiḥ,उच्चैःश्रुतिः (केवलवात),-,"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear.",-,Dysacousia disorder (TM2),-,Primary
41,38,SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),(a) kaṇṭhodhvaṃsaḥ,कण्ठोध्वंसः (केवलवात),-,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",-,Hoarseness of voice disorder (TM2),-,Primary
42,38,SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),(a) kaṇṭhodhvaṃsaḥ,कण्ठोध्वंसः (केवलवात),-,"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties.",-,Hoarseness of voice disorder (TM2),-,Primary
147,145,AAC-10(SP2Y ),aMsaSoShaH,(a) aṃsaśoṣaḥ,अंसशोषः,-,-,-,Shoulder muscle atrophy disorder (TM2) ⇒,-,Index
148,145,AAC-10(SP2Y ),aMsaSoShaH,(a) aṃsaśoṣaḥ,अंसशोषः,-,-,-,Shoulder muscle atrophy disorder (TM2) ⇒,-,Index
421,420,SP5B (BI),rAjayakShmA,(a) rājayakṣmā,राजयक्ष्मा,-,"It is characterised by continuous low grade fever for a prolonged period of time along with dry skin, sunken cheeks and eyes, anorexia, gradual loss of strength. This may be explained by: (a) Vitiation of all three dosha (predominantly kapha) leading to obstruction of channels gradually depleting all the seven tissues.",-,Consumptive disorder (TM2),-,Primary
422,420,SP5B (BI),rAjayakShmA,(a) rājayakṣmā,राजयक्ष्मा,-,"It is characterised by continuous low grade fever for a prolonged period of time along with dry skin, sunken cheeks and eyes, anorexia, gradual loss of strength. This may be explained by: (a) Vitiation of all three dosha (predominantly kapha) leading to obstruction of channels gradually depleting all the seven tissues.",-,Consumptive disorder (TM2),-,Primary
449,447,SR83 (CA-1),mUtravRuddhiH,mūtrakṣayaḥ,मूत्रक्षयः,-,"It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations.",-,Reduced urine pattern (TM2),-,Primary
450,447,SR83 (CA-1),mUtravRuddhiH,mūtrakṣayaḥ,मूत्रक्षयः,-,"It is characterized by dysuria, pricking pain in urinary bladder, oliguria, discolouration of urine, hematuria, thirst and dryness of mouth. This may be explained by abnormal decrease in urine production resulting in local and systemic manifestations.",-,Reduced urine pattern (TM2),-,Primary
877,905,SN43 (ED-4.3.10),vicarcikA,(a) vicarcikā,विचर्चिका,-,"It is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. This may be explained by: (a)Vitiation of all the three dosha with a predominance of kaphadosha.",Note: Also Classifed under #san@kShudrarogaH#[O],Eczema disorder (TM2),-,Primary
878,905,SN43 (ED-4.3.10),vicarcikA,(a) vicarcikā,विचर्चिका,-,"It is characterised by crusted eruptions, intense burning resembling flame of fire, itching, dryness of the skin, blackish discolouration may be associated with discharge. This may be explained by: (a)Vitiation of all the three dosha with a predominance of kaphadosha.",Note: Also Classifed under #san@kShudrarogaH#[O],Eczema disorder (TM2),-,Primary
1109,1147,SN04 (EF-2.5.6),sarShapikA-pramehapiDakA,(a) sarṣapikā,सर्षपिका-प्रमेहपिडका,-,It is characterised by mustard seed like boils in the penis. This may be explained by: (a) Vitiated kapha and blood localising over the penis.,-,Mustard- size boils on penis disorder (TM2),-,primary
1110,1147,SN04 (EF-2.5.6),sarShapikA-pramehapiDakA,(a) sarṣapikā,सर्षपिका-प्रमेहपिडका,-,It is characterised by mustard seed like boils in the penis. This may be explained by: (a) Vitiated kapha and blood localising over the penis.,-,Mustard- size boils on penis disorder (TM2),-,primary
1127,1164,SR5C (EF-5),svedavaha-srotoduShTi,(a) svedavahasrotoduṣṭiḥ,स्वेदवह-स्रोतोदुष्टि,-,"It is characterized by absence of perspiration, excess perspiration, excessive roughness, excessive smoothness, burning sensation all over the body and horripilation. This may be explained by derangement of channels (functional or anatomical or both) sweat.",-,Derangement of channels producing sweat pattern (TM2),-,Primary
1128,1164,SR5C (EF-5),svedavaha-srotoduShTi,(a) svedavahasrotoduṣṭiḥ,स्वेदवह-स्रोतोदुष्टि,-,"It is characterized by absence of perspiration, excess perspiration, excessive roughness, excessive smoothness, burning sensation all over the body and horripilation. This may be explained by derangement of channels (functional or anatomical or both) sweat.",-,Derangement of channels producing sweat pattern (TM2),-,Primary
1472,1521,SK10 (EM-11),BramaH,(a) bhramaḥ,भ्रमः,-,"it is characterised by experience of darkness and vertigo and dizzines on standing. May be associated with difficulty in intake of food, hypersalivation, cough and dyspnoea. This may be explained by: (a) aggravation of pittadosha, vatadosha or decrease of kapha affecting the ear faculty.",-,Vertigo and giddiness disorder (TM2),-,Primary
1473,1521,SK10 (EM-11),BramaH,(a) bhramaḥ,भ्रमः,-,"it is characterised by experience of darkness and vertigo and dizzines on standing. May be associated with difficulty in intake of food, hypersalivation, cough and dyspnoea. This may be explained by: (a) aggravation of pittadosha, vatadosha or decrease of kapha affecting the ear faculty.",-,Vertigo and giddiness disorder (TM2),-,Primary
1507,1556,SM1K (GA-2),pittaja-oShThaprakopaH,(a) pittaja-ōṣṭhaprakōpaḥ,पित्तज-ओष्ठप्रकोपः,-,"It is characterised by desquamation of lips and may be associated with bleeding, blistering. This may be explained by: (a) Vitiation of vata, pitta affecting lips.",-,Lip chapping and bleeding disorder (TM2),-,Primary
1508,1556,SM1K  (GA-2),pittaja-oShThaprakopaH,(a) pittaja-ōṣṭhaprakōpaḥ,पित्तज-ओष्ठप्रकोपः,-,"It is characterised by desquamation of lips and may be associated with bleeding, blistering. This may be explained by: (a) Vitiation of vata, pitta affecting lips.",-,Lip chapping and bleeding disorder (TM2),-,Primary
1552,1601,SM1C (GD-5),upajihvikA,(a) upajihvikā,उपजिह्विका,-,It is characterised by cystic swelling either above or below the tongue. This may be explained by: (a) Vitiated all three dosha localising near the base of the tongue.,-,Ranula disorder (TM2),-,Primary
1553,1601,SM1C  (GD-5),upajihvikA,(a) upajihvikā,उपजिह्विका,-,It is characterised by cystic swelling either above or below the tongue. This may be explained by: (a) Vitiated all three dosha localising near the base of the tongue.,-,Ranula disorder (TM2),-,Primary
1635,1688,HA-6 (SK62 ),kRumigranthiH,(a) kṛmigranthiḥ,कृमिग्रन्थिः,-,-,-,Chronic blepharitis disorder (TM2) ⇒,Pedicularis palpebrae (TM2),Index
1636,1688,HA-6 (SK62 ),kRumigranthiH,(a) kṛmigranthiḥ,कृमिग्रन्थिः,-,-,-,Chronic blepharitis disorder (TM2) ⇒,Pedicularis palpebrae (TM2),Index
1705,1757,HF-10 (SK60 ),sirotpAtaH/SirotpAta,(a) sirotpātaḥ,सिरोत्पातः/शिरोत्पात,-,-,-,Episcleritis disorder (TM2) ⇒,-,Index
1706,1757,HF-10 (SK60 ),sirotpAtaH/SirotpAta,(a) sirotpātaḥ,सिरोत्पातः/शिरोत्पात,-,-,-,Episcleritis disorder (TM2) ⇒,-,Index
1707,1758,SK60 (HF-11),sirApraharShaH,(a) sirāpraharṣaḥ  (a) Sirāharṣaḥ,सिराप्रहर्षः,-,It is characterised by appearance of reddish blood vessels over the sclera. This may be explained by: (a) Vitiated blood,-,Ocular hyperemia disorder (TM2),-,Primary
1708,1758,SK60 (HF-11),sirApraharShaH,(a) sirāpraharṣaḥ (a) Sirāharṣaḥ,सिराप्रहर्षः,-,It is characterised by appearance of reddish blood vessels over the sclera. This may be explained by: (a) Vitiated blood,-,Ocular hyperemia disorder (TM2),-,Primary
1752,1803,SK64 (HG-6),kaPavidagdhadRuShTi/rAtryAndhyam,(a) rātryāndhyam (a) kaphavidagdhadṛṣṭi,कफविदग्धदृष्टि/रात्र्यान्ध्यम्,-,It is characterised by loss of vision during night. This may be explained by: (a) Vitiated kapha affecting the vision.,-,Night blindness disorder (TM2),-,Primary
1753,1803,SK64 (HG-6),kaPavidagdhadRuShTi/rAtryAndhyam,(a) rātryāndhyam (a) kaphavidagdhadṛṣṭi,कफविदग्धदृष्टि/रात्र्यान्ध्यम्,-,It is characterised by loss of vision during night. This may be explained by: (a) Vitiated kapha affecting the vision.,-,Night blindness disorder (TM2),-,Primary
