query_term,error_count
(a) bhedaḥ,6
(a) madaḥ,6
(a) vātaraktam,6
(a) carmadala-kuṣṭhaḥ,6
(a) karṇa-pratināhaḥ,5
(a) kṣavathuvegarodhaḥ,5
(a) sahaja-arśaḥ,4
(a) bahalavartma,4
(a) kalāyakhañjaḥ,4
(a) hanubhedaḥ,4
(a) utsaṅginī,4
(a) raktaja-arśaḥ (a) ārdra-arśaḥ,4
(a) upanāhaḥ,4
(a) jāṅgalamāṃsātyupayogaḥ,4
(a) śramaḥ,4
(a) saṅkocaḥ,4
(a) śaityam,4
(a) kaphaja-arśaḥ,4
(a) vidārikā,4
(a) alāsaḥ,4
(a) vātaja-arśaḥ (a) śuṣka-arśaḥ,4
(a) carmakuṣṭhaḥ,4
(a) sannipātajajvaraḥ,4
(a) kaphapittajajvaraḥ,4
(a)pratamakaśvāsaḥ,4
(a) atyānandā,4
(a) śyāvapiṇḍikā,4
(a) staimityam,4
(a) akālaśayanam,4
(a) vāmanatvam,4
(a) kapālavidradhiḥ,4
(a) karālaḥ,4
(a) ūṣmādhikyam,4
(a) amlakaḥ,4
(a) akṣipākaḥ,4
(a) divāsvapna-upadravaḥ,4
(a) vaṅkṣaṇānāhaḥ,4
(a) bāhuśoṣaḥ,4
(a) vācālatā,4
(a) trikagrahaḥ,4
(a) śukrakṣayaḥ,4
(a) valmīkaḥ,4
(a) varāhadaṃṣṭrakaḥ,4
(a) nyacchaḥ,4
(a) vātajapramehaḥ,4
(a) anuśayī,4
(a) svedavṛddhiḥ,4
(a) hāridramehaḥ,4
(a) āmaśophachedaḥ,4
(a) vraṇa-upadravaḥ,4
(a) utpātaḥ,4
(a) sidhmaḥ,4
(a) nīlamehaḥ,4
(a) snāyukarogaḥ,4
(a) piṣṭamehaḥ,4
(a) pittajakarṇarogaḥ,4
(a) vātajakarṇarogaḥ (a) vātajakarṇaśūla,4
(a) lavaṇamehaḥ,4
(a) surāmehaḥ,4
(a) śanairmehaḥ,4
(a) gambhīrā-dṛṣṭiḥ,4
(a) nakulāndhyam,4
(a) aṅgamardaḥ,4
(a) jānuviśleṣaḥ,4
