query_term,num_unique_predictions
(a) carmadala-kuṣṭhaḥ,3
(a) bhedaḥ,3
(a) galagrahaḥ,3
(a) kṣavathuvegarodhaḥ,3
(a) raktaja-arśaḥ (a) ārdra-arśaḥ,3
(a) sarvasara mukharogaḥ,3
(a) vātaraktam,3
(a) karṇa-pratināhaḥ,3
(a) kaphaja-arśaḥ,3
(a) varāhadaṃṣṭrakaḥ,2
(a) valmīkaḥ,2
(a) vihāravaiṣamyam,2
(a) matsyakāyaḥ (a) mātsyasattvaṃ,2
(a) malāvṛtavātaḥ,2
(a) māṃsakledaḥ,2
(a) majjāvṛddhiḥ,2
(a) majjāparipākaḥ,2
(a) vaṅkṣaṇānāhaḥ,2
(a) utsaṅginī,2
(a) lohitārma (a) kṣatārma,2
(a) vidārikā,2
(a) vyavāyātiyogaḥ,2
(a) lavaṇamehaḥ,2
(a) vraṇa-upadravaḥ,2
(a) mūtrāvṛtavātaḥ,2
(a) kṛmigranthiḥ,2
(a) vācālatā,2
(a) vāmanatvam,2
(a) koṣṭhāśrita-kāmalā,2
(a) kaṇḍūḥ,2
(a) karṇārbudaḥ,2
(a) vāminī,2
(a) vātaja-arśaḥ (a) śuṣka-arśaḥ,2
(a) karālaḥ,2
(a) kapālavidradhiḥ,2
(a) utpātaḥ,2
(a) adhovātavegāvarodhaḥ,2
(a) nakulāndhyam,2
(a) pādabhraṃśaḥ,2
(a) svaraghnam,2
(a) sirāśukraḥ,2
(a) sirāgrahaḥ,2
(a) sidhmaḥ,2
(a) saṅkocaḥ,2
(a) sānnipātajakarṇarogaḥ (a) sannipātika-karṇaśūlaḥ,2
(a) sarvāṅgavātaḥ/(a) sarvāṅgarogaḥ,2
(a) sannipātōdaraḥ-udararogaḥ,2
(a) sannipātajajvaraḥ,2
(a) sahaja-arśaḥ,2
(a) pūyālasaḥ,2
(a) pūyaraktam (a) pūyaśoṇitam,2
(a) pāṣāṇagardabhaḥ,2
(a) sūtikārogaḥ,2
(a) puṇḍarīkaḥ,2
(a) kaphapittajajvaraḥ,2
(a) purīṣavegarodhaḥ,2
(a) purīṣakṣayaḥ,2
(a) tandrā,2
(a) trikagrahaḥ,2
(a) piṣṭamehaḥ,2
(a) pittāvṛtavyānavātaḥ,2
"(a) tālupākaḥ, (a) tāluśothaḥ",2
(a) pittajakarṇarogaḥ,2
(a) pittaja-aśmarī,2
(a) nīlamehaḥ,2
(a) udāvartinī,2
(a) nābhija-arśaḥ,2
(a) nyacchaḥ,2
(a) upanāhaḥ,2
(a) staimityam,2
(a) vātajakarṇarogaḥ (a) vātajakarṇaśūla,2
(a) vātajapramehaḥ,2
(a) carmakuṣṭhaḥ,2
