code,title,num_index_terms,doc_length_words
SP9Y,Other specified disorders affecting the whole body (TM2),127,553
SN5Y,Other specified skin disorders (TM2),99,492
SK7Y,Other specified eye disorders (TM2),70,251
SK00,Cephalalgia disorder (TM2),69,322
SQ2Y,Other specified behavioural disorders (TM2),64,294
SM8D,Polyuria disorder (TM2),61,202
SM53,Haemorrhoids disorder (TM2),59,330
SM1Y,Other specified oral cavity disorders (TM2),59,221
SN9Y,"Other specified skin, nail and hair disorders (TM2)",51,200
SR20,Pattern of occlusion (TM2),46,232
SM9Y,Other specified female Reproductive System disorders (TM2),44,180
SP98,Syncope disorder (TM2),43,207
SK5Y,"Other specified head, brain, nerve and movement disorders (TM2)",42,151
SM41,Jaundice disorder (TM2),40,205
SK8Y,Other specified ear disorders (TM2),39,161
SM3Y,Other specified abdominal cavity disorders (TM2),37,160
SM7Y,Other specified gastro-intestinal disorders (TM2),36,164
SM37,Diarrhoea disorder (TM2),36,200
SP5Y,Other specified febricity disorders (TM2),35,167
SL41,Cough disorder (TM2),34,185
