tm2_code,false_positive_count,code,title,num_index_terms,doc_length_words
SN4F,211,SN4F,Birth mark - blackish red disorder (TM2),2,18
SN4W,35,SN4W,Ulcer disorder (TM2),2,12
SQ02,12,SQ02,Hysteria disorder (TM2),2,11
SP9Y,11,SP9Y,Other specified disorders affecting the whole body (TM2),127,553
SS55,10,SS55,Kapha-Vata constitution pattern (TM2),2,10
SM51,9,SM51,Anal fissure disorder (TM2),3,16
SS52,8,SS52,Kapha constitution pattern (TM2),2,10
SQ21,8,SQ21,Egomania disorder (TM2),2,11
SR66,8,SR66,Rīḥ pattern (TM2),3,16
SM71,8,SM71,Anorexia disorder (TM2),3,15
SS82,7,SS82,Vata predominant age pattern (TM2),3,16
SR40,7,SR40,"Vitiation of ""primary structural components of the body"" pattern (TM2)",2,21
SK53,6,SK53,Stammering disorder (TM2),2,16
SQ22,6,SQ22,Non alcoholic intoxication disorder (TM2),2,14
SR00,6,SR00,Marasmus disorder (TM2),2,11
SN49,6,SN49,Integumentary disorder (TM2),13,71
SQ50,4,SQ50,Worm infestation disorder (TM2),15,66
SM53,4,SM53,Haemorrhoids disorder (TM2),59,330
SR84,4,SR84,Hyperhidrosis pattern (TM2),2,8
SS50,4,SS50,Vata constitution pattern (TM2),2,10
SK6T,4,SK6T,Phlyctenular nodule disorder (TM2),4,19
SR4E,4,SR4E,Depletion of reproductive tissues and semen pattern (TM2),3,21
SR11,4,SR11,Accumulation of Vata pattern (TM2),2,12
SK6R,3,SK6R,Non-inflammatory swelling of eye disorder (TM2),3,20
SK55,3,SK55,Weakness of thighs due to vata disorder (TM2),4,26
SN4G,3,SN4G,Melasma disorder (TM2),3,13
SM1L,3,SM1L,Itchy swollen lip diorder (TM2),2,16
SR1V,3,SR1V,Spoilage of humors pattern (TM2),3,15
SP14,3,SP14,Gout disorder (TM2),2,13
SN42,3,SN42,Dryness of skin disorder (TM2),2,20
SP95,3,SP95,Excessive yawning disorder (TM2),2,15
SP21,3,SP21,Atony disorder (TM2),3,13
SR18,3,SR18,Spreading of pitta pattern (TM2),2,12
SK80,3,SK80,Ear abscess disorder (TM2),2,16
SS61,2,SS61,"Personality with an agitated, reactive mindset (TM2)",21,83
SK6P,2,SK6P,Stye disorder (TM2),2,14
SM37,2,SM37,Diarrhoea disorder (TM2),36,200
SQ23,2,SQ23,Panic attack disorder (TM2),3,19
SM81,2,SM81,Retention of urine disorder (TM2),2,17
SS19,2,SS19,Weak digestive fire pattern (TM2),2,12
SN47,2,SN47,Dracunculosis disorder (TM2),3,13
SS58,2,SS58,Aẕal body constitution pattern (TM2),2,13
SN4R,2,SN4R,Roughness of skin disorder (TM2),3,19
SM91,2,SM91,Endocervicitis disorder (TM2),2,13
SK6U,2,SK6U,Trachoma disorder (TM2),10,57
SR8E,2,SR8E,Sharp smelling sweat pattern (TM2),2,14
SK6J,2,SK6J,Excessive blinking disorder (TM2),3,16
SS60,2,SS60,"Personality with a calm, composed mindset (TM2)",25,94
SL0Y,2,SL0Y,Other specified neck and throat disorders (TM2),11,47
SM9B,2,SM9B,Vaginismus disorder (TM2),2,11
SQ20,2,SQ20,Alcoholism disorder (TM2),9,40
SS59,2,SS59,Aiyam body constitution pattern (TM2),2,13
SM1J,2,SM1J,Sensitive teeth disorder (TM2),2,17
SM8Z,2,SM8Z,"Urinary system disorders (TM2), unspecified",1,10
SR5E,2,SR5E,Derangement of mind related channels pattern (TM2),2,16
SR47,2,SR47,Increase of adipose tissues pattern (TM2),3,17
SK86,2,SK86,Tinnitus disorder (TM2),6,20
SR82,2,SR82,Excessive urine pattern (TM2),2,10
SR1F,2,SR1F,Increase of Vaḷi pattern (TM2),2,14
SK00,2,SK00,Cephalalgia disorder (TM2),69,322
SR5Z,2,SR5Z,"Derangement of channels pattern (TM2), unspecified",2,13
SP10,2,SP10,Polyarthritis disorder (TM2),13,59
SR42,2,SR42,Depletion of primary circulating nutrient fluid pattern (TM2),4,25
SM7Y,2,SM7Y,Other specified gastro-intestinal disorders (TM2),36,164
SP4Y,2,SP4Y,"Other specified bone, joint and muscle disorders (TM2)",31,157
SR1C,2,SR1C,Aggravation of kapha pattern (TM2),3,15
SN48,2,SN48,Intertrigo disorder (TM2),3,13
SQ60,2,SQ60,Pseudo poisoning disorder (TM2),2,13
SS15,2,SS15,"State of incomplete digestion, transformation or metabolism pattern (TM2)",3,22
SS56,2,SS56,Body constitution with a predominance of all three dosha pattern (TM2),2,26
SR1A,2,SR1A,Vitiation of kapha pattern (TM2),2,12
SK20,1,SK20,Facial palsy disorder (TM2),6,47
SR85,1,SR85,Anhidrosis pattern (TM2),2,8
SM70,1,SM70,Flank pain disorder (TM2),3,17
SK54,1,SK54,Numbness disorder (TM2),2,12
SL2Y,1,SL2Y,"Other specified eye, ear, nose, throat and neck disorders (TM2)",9,53
SM32,1,SM32,Ascites disorder (TM2),18,76
SK83,1,SK83,Pruritus of ear disorder (TM2),2,18
SR1W,1,SR1W,Burning of humors pattern (TM2),3,15
SK64,1,SK64,Night blindness disorder (TM2),5,26
SQ03,1,SQ03,Insanity disorder (TM2),6,24
SS2B,1,SS2B,Supression of exertional hyperpnea pattern (TM2),2,14
SP70,1,SP70,Lipoma disorder (TM2),2,14
SL70,1,SL70,Varicose veins disorder (TM2),3,18
SK92,1,SK92,Dry nose disorder (TM2),3,16
SK87,1,SK87,Otalgia disorder (TM2),15,83
SP52,1,SP52,Fever disorder with excessive salivation (TM2),11,68
