category,model,query_sanskrit_term,true_tm2_code,true_candidate_title,top1_pred,top1_title,true_rank,error_type,top1_query_token_overlap,score_gap_to_true,top5_brief,why_this_example,hub_fp_count,quick_note
Recoverable ranking failure,BERT,(a) asṛgdaraḥ (a) Raktapradar,SM98,Dysfunctional uterine bleeding disorder (TM2),SL81,Bleeding disorder disorder (TM2),2.0,Correct But Lower Ranked,1.0,0.0014200984523968,1:SL81 | Bleeding disorder disorder (TM2) (1.000) || 2:SM98 | Dysfunctional uterine bleeding disorder (TM2) (0.999) || 3:SR43 | Morbid increase of blood pattern (TM2) (0.975) || 4:SM32 | Ascites disorder (TM2) (0.963) || 5:SR44 | Depletion of blood pattern (TM2) (0.945),"Near-miss ranking failure: the correct code is retrieved, but a slightly stronger attractor wins.",,"[Recoverable ranking failure] (a) asṛgdaraḥ (a) Raktapradar -> GT: Dysfunctional uterine bleeding disorder (TM2) | Pred: Bleeding disorder disorder (TM2) | Near-miss ranking failure: the correct code is retrieved, but a slightly stronger attractor wins."
Recoverable ranking failure,TFIDF,(a) yuvānapiḍakā,SN4V,Acne disorder (TM2),SR17,Aggravation of pitta pattern (TM2),2.0,Correct But Lower Ranked,3.0,0.0024646805166546,1:SR17 | Aggravation of pitta pattern (TM2) (1.000) || 2:SN4V | Acne disorder (TM2) (0.998) || 3:SS54 | Pitta-Kapha constitution pattern (TM2) (0.763) || 4:SR1C | Aggravation of kapha pattern (TM2) (0.717) || 5:SR15 | Vitiation of pitta pattern (TM2) (0.578),"Near-miss ranking failure: the correct code is retrieved, but a slightly stronger attractor wins.",,"[Recoverable ranking failure] (a) yuvānapiḍakā -> GT: Acne disorder (TM2) | Pred: Aggravation of pitta pattern (TM2) | Near-miss ranking failure: the correct code is retrieved, but a slightly stronger attractor wins."
Recoverable ranking failure,HYBRID,(a) snāyukarogaḥ,SN47,Dracunculosis disorder (TM2),SQ50,Worm infestation disorder (TM2),2.0,Correct But Lower Ranked,4.0,0.0029066018277853,1:SQ50 | Worm infestation disorder (TM2) (1.000) || 2:SN47 | Dracunculosis disorder (TM2) (0.997) || 3:SN4U | Ring worm infection disorder (TM2) (0.616) || 4:SR1A | Vitiation of kapha pattern (TM2) (0.596) || 5:SR1D | Spreading of kapha pattern (TM2) (0.524),"Near-miss ranking failure: the correct code is retrieved, but a slightly stronger attractor wins.",,"[Recoverable ranking failure] (a) snāyukarogaḥ -> GT: Dracunculosis disorder (TM2) | Pred: Worm infestation disorder (TM2) | Near-miss ranking failure: the correct code is retrieved, but a slightly stronger attractor wins."
Recoverable ranking failure,TFIDF,(a) pāṣāṇagardabhaḥ,SM1D,Parotitis disorder (TM2),SR15,Vitiation of pitta pattern (TM2),2.0,Correct But Lower Ranked,3.0,0.003742991295787,1:SR15 | Vitiation of pitta pattern (TM2) (1.000) || 2:SM1D | Parotitis disorder (TM2) (0.996) || 3:SP9Y | Other specified disorders affecting the whole body (TM2) (0.713) || 4:SR1A | Vitiation of kapha pattern (TM2) (0.653) || 5:SR19 | Depletion of pitta pattern (TM2) (0.591),"Near-miss ranking failure: the correct code is retrieved, but a slightly stronger attractor wins.",,"[Recoverable ranking failure] (a) pāṣāṇagardabhaḥ -> GT: Parotitis disorder (TM2) | Pred: Vitiation of pitta pattern (TM2) | Near-miss ranking failure: the correct code is retrieved, but a slightly stronger attractor wins."
Recall failure,BERT,(a) antarāyāmaḥ,SK30,Seizure disorder (TM2),SQ02,Hysteria disorder (TM2),,Low Lexical Overlap,0.0,0.2102784810295933,1:SQ02 | Hysteria disorder (TM2) (1.000) || 2:SM51 | Anal fissure disorder (TM2) (0.966) || 3:SQ03 | Insanity disorder (TM2) (0.964) || 4:SR00 | Marasmus disorder (TM2) (0.936) || 5:SR66 | Rīḥ pattern (TM2) (0.931),Attractor concept: this TM2 code repeatedly absorbs unrelated queries.,,[Recall failure] (a) antarāyāmaḥ -> GT: Seizure disorder (TM2) | Pred: Hysteria disorder (TM2) | Attractor concept: this TM2 code repeatedly absorbs unrelated queries.
Recall failure,BERT,galavidradhiḥ,SL0Y,Other specified neck and throat disorders (TM2),SR1V,Spoilage of humors pattern (TM2),,Low Lexical Overlap,0.0,0.2217746688274123,1:SR1V | Spoilage of humors pattern (TM2) (1.000) || 2:SR1X | Thickening of humors pattern (TM2) (0.929) || 3:SR4L | Increased secretion of breast milk pattern (TM2) (0.904) || 4:SR66 | Rīḥ pattern (TM2) (0.879) || 5:SR1W | Burning of humors pattern (TM2) (0.878),"Dense retrieval failure: the correct code was not surfaced in Top-5, suggesting semantic drift / weak domain grounding.",,"[Recall failure] galavidradhiḥ -> GT: Other specified neck and throat disorders (TM2) | Pred: Spoilage of humors pattern (TM2) | Dense retrieval failure: the correct code was not surfaced in Top-5, suggesting semantic drift / weak domain grounding."
Recall failure,BERT,(a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ,SK30,Seizure disorder (TM2),SQ02,Hysteria disorder (TM2),,Low Lexical Overlap,0.0,0.2547931622966399,1:SQ02 | Hysteria disorder (TM2) (1.000) || 2:SN4W | Ulcer disorder (TM2) (0.933) || 3:SK53 | Stammering disorder (TM2) (0.907) || 4:SP5B | Consumptive disorder (TM2) (0.905) || 5:SR00 | Marasmus disorder (TM2) (0.905),Attractor concept: this TM2 code repeatedly absorbs unrelated queries.,,[Recall failure] (a) bahirāyāmaḥ (a) bāhyāyāmaḥ (a) dhanuḥstambhaḥ -> GT: Seizure disorder (TM2) | Pred: Hysteria disorder (TM2) | Attractor concept: this TM2 code repeatedly absorbs unrelated queries.
Recall failure,BERT,"(a) r̥ṣikāyaḥ (a) ṛṣisattvaṃ, (a) ārṣasattvaṃ",SS60,"Personality with a calm, composed mindset (TM2)",SQ02,Hysteria disorder (TM2),,Low Lexical Overlap,0.0,0.2585328866346279,1:SQ02 | Hysteria disorder (TM2) (1.000) || 2:SN4W | Ulcer disorder (TM2) (0.965) || 3:SQ21 | Egomania disorder (TM2) (0.935) || 4:SS17 | Strong digestive fire pattern (TM2) (0.846) || 5:SR00 | Marasmus disorder (TM2) (0.834),Attractor concept: this TM2 code repeatedly absorbs unrelated queries.,,"[Recall failure] (a) r̥ṣikāyaḥ (a) ṛṣisattvaṃ, (a) ārṣasattvaṃ -> GT: Personality with a calm, composed mindset (TM2) | Pred: Hysteria disorder (TM2) | Attractor concept: this TM2 code repeatedly absorbs unrelated queries."
Semantic attractor,BM25,(a) amlādhyuṣitaḥ (a) amloṣita,SK7Y,Other specified eye disorders (TM2),SN4F,Birth mark - blackish red disorder (TM2),2.0,Correct But Lower Ranked,2.0,0.0134915594209797,1:SN4F | Birth mark - blackish red disorder (TM2) (1.000) || 2:SK7Y | Other specified eye disorders (TM2) (0.987) || 3:SN5Y | Other specified skin disorders (TM2) (0.713) || 4:SP9Y | Other specified disorders affecting the whole body (TM2) (0.663) || 5:SM9Y | Other specified female Reproductive System disorders (TM2) (0.644),Attractor concept: this TM2 code repeatedly absorbs unrelated queries.,211.0,[Semantic attractor] (a) amlādhyuṣitaḥ (a) amloṣita -> GT: Other specified eye disorders (TM2) | Pred: Birth mark - blackish red disorder (TM2) | Attractor concept: this TM2 code repeatedly absorbs unrelated queries.
Semantic attractor,BM25,(a) sarvasara mukharogaḥ,SM1Y,Other specified oral cavity disorders (TM2),SN4F,Birth mark - blackish red disorder (TM2),2.0,Correct But Lower Ranked,2.0,0.030003254239113,1:SN4F | Birth mark - blackish red disorder (TM2) (1.000) || 2:SM1Y | Other specified oral cavity disorders (TM2) (0.970) || 3:SN5Y | Other specified skin disorders (TM2) (0.591) || 4:SM9Y | Other specified female Reproductive System disorders (TM2) (0.568) || 5:SP9Y | Other specified disorders affecting the whole body (TM2) (0.506),Attractor concept: this TM2 code repeatedly absorbs unrelated queries.,211.0,[Semantic attractor] (a) sarvasara mukharogaḥ -> GT: Other specified oral cavity disorders (TM2) | Pred: Birth mark - blackish red disorder (TM2) | Attractor concept: this TM2 code repeatedly absorbs unrelated queries.
