code,title,fsn,definition,inclusions,exclusions,icd_index_terms,chapter,index_terms
SK00,cephalalgia disorder tm2,,,,,cephalalgia disorder tm2 a śiraḥśūla a śiroruk b maṇṭaikkuttiyal c ṣudā‘ heaviness of head disorder tm2 b maṇṭai kaṇappu scalp pain disorder tm2 b maṇṭai cūlai aiya aggravation and headache disorder tm2 b cilēṭṭuma talai nōkkāṭu mukkuṟṟam aggravation and headache disorder tm2 b caṉṉivāta nōkkāṭu vaḷi aggravation and headache disorder tm2 b vātattalai nōkkāṭu cluster headache disorder tm2 b oru talaiyiṉ vartam circumferential headache disorder tm2 c bayḍa o khūdha helmet headache tm2 organic headache tm2 catarrhal headache disorder tm2 c ṣudā‘ nazlī headache due to weakness of brain disorder tm2 c ṣudā‘ ḍu‘f dimāghī occipital headache due to hypertension disorder tm2 b siratta pitta nōkkāṭu head disorder due to depletion of fundamental structural components disorder tm2 a kṣayajaśirorogaḥ temporal headache disorder tm2 a śaṅkhakaḥ throbbing headache disorder tm2 c ṣudā‘ ḍarabānī headache due to smell disorder tm2 c ṣudā‘ shammī trigeminal neuralgia disorder tm2 a anantavātaḥ referred headache due to the involvement of the liver disorder tm2 c ṣudā‘ shirkī kabidī referred headache due to the involvement of the peritoneum disorder tm2 c ṣudā‘ marāqī referred headache due to the involvement of the stomach disorder tm2 c ṣudā‘ shirkī mi‘dī headache due to derangement of ṣafrā’ disorder tm2 c ṣudā‘ ṣafrāwī headache due to derangement of balgham disorder tm2 c ṣudā‘ balghamī inflammatory headache disorder tm2 c ṣudā‘ waramī headache due to external bukhārāt disorder tm2 c ṣudā‘ bukhārī khārijī headache due to excessive coldness disorder tm2 c ṣudā‘ bārid headache due to excessive hotness disorder tm2 c ṣudā‘ ḥārr headache due to external rīḥ disorder tm2 c ṣudā‘ rīḥī khārijī headache due to derangement of dam disorder tm2 c ṣudā‘ damawī headache due to derangement of sawdā’ disorder tm2 c ṣudā‘ sawdāwī headache due to internal bukhārāt disorder tm2 c ṣudā‘ bukhārī dākhilī headache due to internal rīḥ disorder tm2 c ṣudā‘ rīḥī dākhilī sunshine induced cephalalgia disorder tm2 a sūryāvartaḥ headache due to infestation disorder tm2 a kṛmija śirorogaḥ,,cephalalgia disorder tm2 cephalalgia disorder tm2 cephalalgia disorder tm2 cephalalgia disorder tm2 a śiraḥśūla a śiroruk b maṇṭaikkuttiyal c ṣudā‘ heaviness of head disorder tm2 b maṇṭai kaṇappu scalp pain disorder tm2 b maṇṭai cūlai aiya aggravation and headache disorder tm2 b cilēṭṭuma talai nōkkāṭu mukkuṟṟam aggravation and headache disorder tm2 b caṉṉivāta nōkkāṭu vaḷi aggravation and headache disorder tm2 b vātattalai nōkkāṭu cluster headache disorder tm2 b oru talaiyiṉ vartam circumferential headache disorder tm2 c bayḍa o khūdha helmet headache tm2 organic headache tm2 catarrhal headache disorder tm2 c ṣudā‘ nazlī headache due to weakness of brain disorder tm2 c ṣudā‘ ḍu‘f dimāghī occipital headache due to hypertension disorder tm2 b siratta pitta nōkkāṭu head disorder due to depletion of fundamental structural components disorder tm2 a kṣayajaśirorogaḥ temporal headache disorder tm2 a śaṅkhakaḥ throbbing headache disorder tm2 c ṣudā‘ ḍarabānī headache due to smell disorder tm2 c ṣudā‘ shammī trigeminal neuralgia disorder tm2 a anantavātaḥ referred headache due to the involvement of the liver disorder tm2 c ṣudā‘ shirkī kabidī referred headache due to the involvement of the peritoneum disorder tm2 c ṣudā‘ marāqī referred headache due to the involvement of the stomach disorder tm2 c ṣudā‘ shirkī mi‘dī headache due to derangement of ṣafrā’ disorder tm2 c ṣudā‘ ṣafrāwī headache due to derangement of balgham disorder tm2 c ṣudā‘ balghamī inflammatory headache disorder tm2 c ṣudā‘ waramī headache due to external bukhārāt disorder tm2 c ṣudā‘ bukhārī khārijī headache due to excessive coldness disorder tm2 c ṣudā‘ bārid headache due to excessive hotness disorder tm2 c ṣudā‘ ḥārr headache due to external rīḥ disorder tm2 c ṣudā‘ rīḥī khārijī headache due to derangement of dam disorder tm2 c ṣudā‘ damawī headache due to derangement of sawdā’ disorder tm2 c ṣudā‘ sawdāwī headache due to internal bukhārāt disorder tm2 c ṣudā‘ bukhārī dākhilī headache due to internal rīḥ disorder tm2 c ṣudā‘ rīḥī dākhilī sunshine induced cephalalgia disorder tm2 a sūryāvartaḥ headache due to infestation disorder tm2 a kṛmija śirorogaḥ cephalalgia disorder tm2 a śiraḥśūla a śiroruk b maṇṭaikkuttiyal c ṣudā‘ heaviness of head disorder tm2 b maṇṭai kaṇappu scalp pain disorder tm2 b maṇṭai cūlai aiya aggravation and headache disorder tm2 b cilēṭṭuma talai nōkkāṭu mukkuṟṟam aggravation and headache disorder tm2 b caṉṉivāta nōkkāṭu vaḷi aggravation and headache disorder tm2 b vātattalai nōkkāṭu cluster headache disorder tm2 b oru talaiyiṉ vartam circumferential headache disorder tm2 c bayḍa o khūdha helmet headache tm2 organic headache tm2 catarrhal headache disorder tm2 c ṣudā‘ nazlī headache due to weakness of brain disorder tm2 c ṣudā‘ ḍu‘f dimāghī occipital headache due to hypertension disorder tm2 b siratta pitta nōkkāṭu head disorder due to depletion of fundamental structural components disorder tm2 a kṣayajaśirorogaḥ temporal headache disorder tm2 a śaṅkhakaḥ throbbing headache disorder tm2 c ṣudā‘ ḍarabānī headache due to smell disorder tm2 c ṣudā‘ shammī trigeminal neuralgia disorder tm2 a anantavātaḥ referred headache due to the involvement of the liver disorder tm2 c ṣudā‘ shirkī kabidī referred headache due to the involvement of the peritoneum disorder tm2 c ṣudā‘ marāqī referred headache due to the involvement of the stomach disorder tm2 c ṣudā‘ shirkī mi‘dī headache due to derangement of ṣafrā’ disorder tm2 c ṣudā‘ ṣafrāwī headache due to derangement of balgham disorder tm2 c ṣudā‘ balghamī inflammatory headache disorder tm2 c ṣudā‘ waramī headache due to external bukhārāt disorder tm2 c ṣudā‘ bukhārī khārijī headache due to excessive coldness disorder tm2 c ṣudā‘ bārid headache due to excessive hotness disorder tm2 c ṣudā‘ ḥārr headache due to external rīḥ disorder tm2 c ṣudā‘ rīḥī khārijī headache due to derangement of dam disorder tm2 c ṣudā‘ damawī headache due to derangement of sawdā’ disorder tm2 c ṣudā‘ sawdāwī headache due to internal bukhārāt disorder tm2 c ṣudā‘ bukhārī dākhilī headache due to internal rīḥ disorder tm2 c ṣudā‘ rīḥī dākhilī sunshine induced cephalalgia disorder tm2 a sūryāvartaḥ headache due to infestation disorder tm2 a kṛmija śirorogaḥ cephalalgia disorder tm2 a śiraḥśūla a śiroruk b maṇṭaikkuttiyal c ṣudā‘ heaviness of head disorder tm2 b maṇṭai kaṇappu scalp pain disorder tm2 b maṇṭai cūlai aiya aggravation and headache disorder tm2 b cilēṭṭuma talai nōkkāṭu mukkuṟṟam aggravation and headache disorder tm2 b caṉṉivāta nōkkāṭu vaḷi aggravation and headache disorder tm2 b vātattalai nōkkāṭu cluster headache disorder tm2 b oru talaiyiṉ vartam circumferential headache disorder tm2 c bayḍa o khūdha helmet headache tm2 organic headache tm2 catarrhal headache disorder tm2 c ṣudā‘ nazlī headache due to weakness of brain disorder tm2 c ṣudā‘ ḍu‘f dimāghī occipital headache due to hypertension disorder tm2 b siratta pitta nōkkāṭu head disorder due to depletion of fundamental structural components disorder tm2 a kṣayajaśirorogaḥ temporal headache disorder tm2 a śaṅkhakaḥ throbbing headache disorder tm2 c ṣudā‘ ḍarabānī headache due to smell disorder tm2 c ṣudā‘ shammī trigeminal neuralgia disorder tm2 a anantavātaḥ referred headache due to the involvement of the liver disorder tm2 c ṣudā‘ shirkī kabidī referred headache due to the involvement of the peritoneum disorder tm2 c ṣudā‘ marāqī referred headache due to the involvement of the stomach disorder tm2 c ṣudā‘ shirkī mi‘dī headache due to derangement of ṣafrā’ disorder tm2 c ṣudā‘ ṣafrāwī headache due to derangement of balgham disorder tm2 c ṣudā‘ balghamī inflammatory headache disorder tm2 c ṣudā‘ waramī headache due to external bukhārāt disorder tm2 c ṣudā‘ bukhārī khārijī headache due to excessive coldness disorder tm2 c ṣudā‘ bārid headache due to excessive hotness disorder tm2 c ṣudā‘ ḥārr headache due to external rīḥ disorder tm2 c ṣudā‘ rīḥī khārijī headache due to derangement of dam disorder tm2 c ṣudā‘ damawī headache due to derangement of sawdā’ disorder tm2 c ṣudā‘ sawdāwī headache due to internal bukhārāt disorder tm2 c ṣudā‘ bukhārī dākhilī headache due to internal rīḥ disorder tm2 c ṣudā‘ rīḥī dākhilī sunshine induced cephalalgia disorder tm2 a sūryāvartaḥ headache due to infestation disorder tm2 a kṛmija śirorogaḥ
SK01,migraine disorder tm2,,,,,migraine disorder tm2 a ardhāvabhedakaḥ c shaqīqa b kapāla aẕaṟkuṇam acute migraine disorder tm2 c shaqīqa ḥārra migraine due to hot humours tm2 chronic migraine disorder tm2 c shaqīqa bārida migraine due to cold humours tm2,,migraine disorder tm2 migraine disorder tm2 migraine disorder tm2 migraine disorder tm2 a ardhāvabhedakaḥ c shaqīqa b kapāla aẕaṟkuṇam acute migraine disorder tm2 c shaqīqa ḥārra migraine due to hot humours tm2 chronic migraine disorder tm2 c shaqīqa bārida migraine due to cold humours tm2 migraine disorder tm2 a ardhāvabhedakaḥ c shaqīqa b kapāla aẕaṟkuṇam acute migraine disorder tm2 c shaqīqa ḥārra migraine due to hot humours tm2 chronic migraine disorder tm2 c shaqīqa bārida migraine due to cold humours tm2 migraine disorder tm2 a ardhāvabhedakaḥ c shaqīqa b kapāla aẕaṟkuṇam acute migraine disorder tm2 c shaqīqa ḥārra migraine due to hot humours tm2 chronic migraine disorder tm2 c shaqīqa bārida migraine due to cold humours tm2
SK10,vertigo and giddiness disorder tm2,,,,,vertigo and giddiness disorder tm2 a bhramaḥ b aẕal kiṟukiṟuppu c sadr o duwār vertigo and giddiness due to balgham disorder tm2 c sadr o duwār dimāghī balghamī vertigo and giddiness due to dam disorder tm2 c sadr o duwār dimāghī damawī vertigo and giddiness due to ṣafrā’ disorder tm2 c sadr o duwār dimāghī ṣafrāwī vertigo and giddiness due to sawdā’ disorder tm2 c sadr o duwār dimāghī sawdāwī secondary vertigo and giddiness disorder tm2 c sadr o duwār shirkī,,vertigo and giddiness disorder tm2 vertigo and giddiness disorder tm2 vertigo and giddiness disorder tm2 vertigo and giddiness disorder tm2 a bhramaḥ b aẕal kiṟukiṟuppu c sadr o duwār vertigo and giddiness due to balgham disorder tm2 c sadr o duwār dimāghī balghamī vertigo and giddiness due to dam disorder tm2 c sadr o duwār dimāghī damawī vertigo and giddiness due to ṣafrā’ disorder tm2 c sadr o duwār dimāghī ṣafrāwī vertigo and giddiness due to sawdā’ disorder tm2 c sadr o duwār dimāghī sawdāwī secondary vertigo and giddiness disorder tm2 c sadr o duwār shirkī vertigo and giddiness disorder tm2 a bhramaḥ b aẕal kiṟukiṟuppu c sadr o duwār vertigo and giddiness due to balgham disorder tm2 c sadr o duwār dimāghī balghamī vertigo and giddiness due to dam disorder tm2 c sadr o duwār dimāghī damawī vertigo and giddiness due to ṣafrā’ disorder tm2 c sadr o duwār dimāghī ṣafrāwī vertigo and giddiness due to sawdā’ disorder tm2 c sadr o duwār dimāghī sawdāwī secondary vertigo and giddiness disorder tm2 c sadr o duwār shirkī vertigo and giddiness disorder tm2 a bhramaḥ b aẕal kiṟukiṟuppu c sadr o duwār vertigo and giddiness due to balgham disorder tm2 c sadr o duwār dimāghī balghamī vertigo and giddiness due to dam disorder tm2 c sadr o duwār dimāghī damawī vertigo and giddiness due to ṣafrā’ disorder tm2 c sadr o duwār dimāghī ṣafrāwī vertigo and giddiness due to sawdā’ disorder tm2 c sadr o duwār dimāghī sawdāwī secondary vertigo and giddiness disorder tm2 c sadr o duwār shirkī
SK20,facial palsy disorder tm2,,,,,facial palsy disorder tm2 a arditaḥ b uraka vātam c laqwa deviation of one side of face due to spasm of muscles disorder tm2 c laqwa tashannujī deviation of one side of face due to flaccidity of muscles disorder tm2 c laqwa istirkhā’ī,,facial palsy disorder tm2 facial palsy disorder tm2 facial palsy disorder tm2 facial palsy disorder tm2 a arditaḥ b uraka vātam c laqwa deviation of one side of face due to spasm of muscles disorder tm2 c laqwa tashannujī deviation of one side of face due to flaccidity of muscles disorder tm2 c laqwa istirkhā’ī facial palsy disorder tm2 a arditaḥ b uraka vātam c laqwa deviation of one side of face due to spasm of muscles disorder tm2 c laqwa tashannujī deviation of one side of face due to flaccidity of muscles disorder tm2 c laqwa istirkhā’ī facial palsy disorder tm2 a arditaḥ b uraka vātam c laqwa deviation of one side of face due to spasm of muscles disorder tm2 c laqwa tashannujī deviation of one side of face due to flaccidity of muscles disorder tm2 c laqwa istirkhā’ī
SK21,paraplegia disorder tm2,,,,,paraplegia disorder tm2 a paṅguḥ c fālij asfal a pāṅgulyam c fālij aṭrāfī lameness bilateral lower limb paralysis tm2,,paraplegia disorder tm2 paraplegia disorder tm2 paraplegia disorder tm2 paraplegia disorder tm2 a paṅguḥ c fālij asfal a pāṅgulyam c fālij aṭrāfī lameness bilateral lower limb paralysis tm2 paraplegia disorder tm2 a paṅguḥ c fālij asfal a pāṅgulyam c fālij aṭrāfī lameness bilateral lower limb paralysis tm2 paraplegia disorder tm2 a paṅguḥ c fālij asfal a pāṅgulyam c fālij aṭrāfī lameness bilateral lower limb paralysis tm2
SK22,hemiplegia disorder tm2,,,,,hemiplegia disorder tm2 a pakṣavadhaḥ a pakṣāghāta b pakṣavātam c fālij incomplete hemiplegia disorder tm2 b pakka vātam hemiplegia in children disorder tm2 a bāla pakṣāghātaḥ monoplegia disorder tm2 a ekāṅgavātaḥ total body paralysis disorder tm2 a sarvāṅgarogaḥ a sarvāṅgavātaḥ quadriplegia tm2 tongue paralysis disorder tm2 a jihvāstambhaḥ,,hemiplegia disorder tm2 hemiplegia disorder tm2 hemiplegia disorder tm2 hemiplegia disorder tm2 a pakṣavadhaḥ a pakṣāghāta b pakṣavātam c fālij incomplete hemiplegia disorder tm2 b pakka vātam hemiplegia in children disorder tm2 a bāla pakṣāghātaḥ monoplegia disorder tm2 a ekāṅgavātaḥ total body paralysis disorder tm2 a sarvāṅgarogaḥ a sarvāṅgavātaḥ quadriplegia tm2 tongue paralysis disorder tm2 a jihvāstambhaḥ hemiplegia disorder tm2 a pakṣavadhaḥ a pakṣāghāta b pakṣavātam c fālij incomplete hemiplegia disorder tm2 b pakka vātam hemiplegia in children disorder tm2 a bāla pakṣāghātaḥ monoplegia disorder tm2 a ekāṅgavātaḥ total body paralysis disorder tm2 a sarvāṅgarogaḥ a sarvāṅgavātaḥ quadriplegia tm2 tongue paralysis disorder tm2 a jihvāstambhaḥ hemiplegia disorder tm2 a pakṣavadhaḥ a pakṣāghāta b pakṣavātam c fālij incomplete hemiplegia disorder tm2 b pakka vātam hemiplegia in children disorder tm2 a bāla pakṣāghātaḥ monoplegia disorder tm2 a ekāṅgavātaḥ total body paralysis disorder tm2 a sarvāṅgarogaḥ a sarvāṅgavātaḥ quadriplegia tm2 tongue paralysis disorder tm2 a jihvāstambhaḥ
SK30,seizure disorder tm2,,,,,seizure disorder tm2 a ākṣepakaḥ b vaḷippu c tashannuj whole body stiffness with immobility disorder tm2 a daṇḍakaḥ post traumatic convulsion disorder tm2 a vraṇāyāmaḥ irremediable opisthotonos disorder tm2 a asādhyadhanuṣkaṃpa opisthotonos disorder tm2 a bahirāyāmaḥ a bāhyāyāmaḥ a dhanuḥstambhaḥ orthotonus disorder tm2 a apatānakaḥ orthotonus with rod like stiffness disorder tm2 a daṇḍāpatānakaḥ emprosthotonus disorder tm2 a antarāyāmaḥ convulsive fit disorder tm2 a apatantrakaḥ,,seizure disorder tm2 seizure disorder tm2 seizure disorder tm2 seizure disorder tm2 a ākṣepakaḥ b vaḷippu c tashannuj whole body stiffness with immobility disorder tm2 a daṇḍakaḥ post traumatic convulsion disorder tm2 a vraṇāyāmaḥ irremediable opisthotonos disorder tm2 a asādhyadhanuṣkaṃpa opisthotonos disorder tm2 a bahirāyāmaḥ a bāhyāyāmaḥ a dhanuḥstambhaḥ orthotonus disorder tm2 a apatānakaḥ orthotonus with rod like stiffness disorder tm2 a daṇḍāpatānakaḥ emprosthotonus disorder tm2 a antarāyāmaḥ convulsive fit disorder tm2 a apatantrakaḥ seizure disorder tm2 a ākṣepakaḥ b vaḷippu c tashannuj whole body stiffness with immobility disorder tm2 a daṇḍakaḥ post traumatic convulsion disorder tm2 a vraṇāyāmaḥ irremediable opisthotonos disorder tm2 a asādhyadhanuṣkaṃpa opisthotonos disorder tm2 a bahirāyāmaḥ a bāhyāyāmaḥ a dhanuḥstambhaḥ orthotonus disorder tm2 a apatānakaḥ orthotonus with rod like stiffness disorder tm2 a daṇḍāpatānakaḥ emprosthotonus disorder tm2 a antarāyāmaḥ convulsive fit disorder tm2 a apatantrakaḥ seizure disorder tm2 a ākṣepakaḥ b vaḷippu c tashannuj whole body stiffness with immobility disorder tm2 a daṇḍakaḥ post traumatic convulsion disorder tm2 a vraṇāyāmaḥ irremediable opisthotonos disorder tm2 a asādhyadhanuṣkaṃpa opisthotonos disorder tm2 a bahirāyāmaḥ a bāhyāyāmaḥ a dhanuḥstambhaḥ orthotonus disorder tm2 a apatānakaḥ orthotonus with rod like stiffness disorder tm2 a daṇḍāpatānakaḥ emprosthotonus disorder tm2 a antarāyāmaḥ convulsive fit disorder tm2 a apatantrakaḥ
SK31,epilepsy disorder tm2,,,,,epilepsy disorder tm2 a apasmāraḥ c ṣar‘ epilepsy due to aiyam disorder tm2 b kākkai vaḷippu epilepsy due to derangement of sawdā’ disorder tm2 c ṣar‘ dimāghī sawdāwī grandmal epilepsy disorder tm2 b vacaṉā vātam,,epilepsy disorder tm2 epilepsy disorder tm2 epilepsy disorder tm2 epilepsy disorder tm2 a apasmāraḥ c ṣar‘ epilepsy due to aiyam disorder tm2 b kākkai vaḷippu epilepsy due to derangement of sawdā’ disorder tm2 c ṣar‘ dimāghī sawdāwī grandmal epilepsy disorder tm2 b vacaṉā vātam epilepsy disorder tm2 a apasmāraḥ c ṣar‘ epilepsy due to aiyam disorder tm2 b kākkai vaḷippu epilepsy due to derangement of sawdā’ disorder tm2 c ṣar‘ dimāghī sawdāwī grandmal epilepsy disorder tm2 b vacaṉā vātam epilepsy disorder tm2 a apasmāraḥ c ṣar‘ epilepsy due to aiyam disorder tm2 b kākkai vaḷippu epilepsy due to derangement of sawdā’ disorder tm2 c ṣar‘ dimāghī sawdāwī grandmal epilepsy disorder tm2 b vacaṉā vātam
SK50,scalp affliction disorder tm2,,,,,scalp affliction disorder tm2 a kapāla rogaḥ b kapāla tērai scalp tumour disorder tm2 a kapālarbudaḥ neurotrophic ulcer disorder tm2 b cilaippuṇ numbness over scalp disorder tm2 b maṇṭai timir brain disease disorder tm2 b mūḷai nōy infection of palate disorder tm2 a tālukaṇṭakaḥ delirium caused by diseases of head disorder tm2 b maṇṭai caṉṉi,,scalp affliction disorder tm2 scalp affliction disorder tm2 scalp affliction disorder tm2 scalp affliction disorder tm2 a kapāla rogaḥ b kapāla tērai scalp tumour disorder tm2 a kapālarbudaḥ neurotrophic ulcer disorder tm2 b cilaippuṇ numbness over scalp disorder tm2 b maṇṭai timir brain disease disorder tm2 b mūḷai nōy infection of palate disorder tm2 a tālukaṇṭakaḥ delirium caused by diseases of head disorder tm2 b maṇṭai caṉṉi scalp affliction disorder tm2 a kapāla rogaḥ b kapāla tērai scalp tumour disorder tm2 a kapālarbudaḥ neurotrophic ulcer disorder tm2 b cilaippuṇ numbness over scalp disorder tm2 b maṇṭai timir brain disease disorder tm2 b mūḷai nōy infection of palate disorder tm2 a tālukaṇṭakaḥ delirium caused by diseases of head disorder tm2 b maṇṭai caṉṉi scalp affliction disorder tm2 a kapāla rogaḥ b kapāla tērai scalp tumour disorder tm2 a kapālarbudaḥ neurotrophic ulcer disorder tm2 b cilaippuṇ numbness over scalp disorder tm2 b maṇṭai timir brain disease disorder tm2 b mūḷai nōy infection of palate disorder tm2 a tālukaṇṭakaḥ delirium caused by diseases of head disorder tm2 b maṇṭai caṉṉi
SK51,cervicobrachial pain disorder tm2,,,,,cervicobrachial pain disorder tm2 a viśvācī b cirakkampa vātam c waja‘ al ‘unuq ‘aṣabī c wābila cervicobrachial neuralgia tm2 peripheral neuritis disorder tm2 a vātakarṣaṇam three humours affected leading to seizure disorder tm2 b cuka caṉṉi tetanus disorder tm2 b aṣṭa tantira vātam aggrevation of aẕal causing neuralgia disorder tm2 b timir pittam peripheral neuralgia disorder tm2 b eripittam peripheral neuritis due to derangement of vaḷi disorder tm2 b vāta upakatam,,cervicobrachial pain disorder tm2 cervicobrachial pain disorder tm2 cervicobrachial pain disorder tm2 cervicobrachial pain disorder tm2 a viśvācī b cirakkampa vātam c waja‘ al ‘unuq ‘aṣabī c wābila cervicobrachial neuralgia tm2 peripheral neuritis disorder tm2 a vātakarṣaṇam three humours affected leading to seizure disorder tm2 b cuka caṉṉi tetanus disorder tm2 b aṣṭa tantira vātam aggrevation of aẕal causing neuralgia disorder tm2 b timir pittam peripheral neuralgia disorder tm2 b eripittam peripheral neuritis due to derangement of vaḷi disorder tm2 b vāta upakatam cervicobrachial pain disorder tm2 a viśvācī b cirakkampa vātam c waja‘ al ‘unuq ‘aṣabī c wābila cervicobrachial neuralgia tm2 peripheral neuritis disorder tm2 a vātakarṣaṇam three humours affected leading to seizure disorder tm2 b cuka caṉṉi tetanus disorder tm2 b aṣṭa tantira vātam aggrevation of aẕal causing neuralgia disorder tm2 b timir pittam peripheral neuralgia disorder tm2 b eripittam peripheral neuritis due to derangement of vaḷi disorder tm2 b vāta upakatam cervicobrachial pain disorder tm2 a viśvācī b cirakkampa vātam c waja‘ al ‘unuq ‘aṣabī c wābila cervicobrachial neuralgia tm2 peripheral neuritis disorder tm2 a vātakarṣaṇam three humours affected leading to seizure disorder tm2 b cuka caṉṉi tetanus disorder tm2 b aṣṭa tantira vātam aggrevation of aẕal causing neuralgia disorder tm2 b timir pittam peripheral neuralgia disorder tm2 b eripittam peripheral neuritis due to derangement of vaḷi disorder tm2 b vāta upakatam
